cell_id,Pyrrhura roseifrons,Pyrrhura roseifrons peruviana/dilutissima,Pyrrhura roseifrons parvifrons,Pyrrhura roseifrons roseifrons
828a47fffffffff,51.0,0.0,0.0,5.0
828a57fffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,58.0,0.0,0.0,1.0
828b47fffffffff,216.0,0.0,0.0,22.0
828b4ffffffffff,5.0,0.0,0.0,0.0
828b5ffffffffff,1.0,0.0,0.0,0.0
828b67fffffffff,65.0,0.0,0.0,8.0
828b6ffffffffff,93.0,1.0,0.0,8.0
828b77fffffffff,107.0,0.0,0.0,6.0
828e67fffffffff,3.0,2.0,0.0,0.0
828f47fffffffff,139.0,0.0,35.0,0.0
828f4ffffffffff,31.0,0.0,0.0,0.0
828f5ffffffffff,11.0,0.0,0.0,0.0
828f67fffffffff,9.0,0.0,0.0,1.0
828f6ffffffffff,12.0,0.0,0.0,1.0
828f77fffffffff,5.0,1.0,0.0,0.0
