cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
835f02fffffffff,2.0,0.0,0.0
835f03fffffffff,43.0,0.0,0.0
835f06fffffffff,6.0,0.0,0.0
835f08fffffffff,27.0,0.0,0.0
835f09fffffffff,48.0,0.0,0.0
835f0bfffffffff,10.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,3.0,0.0,0.0
835f12fffffffff,4.0,0.0,0.0
835f13fffffffff,2.0,0.0,0.0
835f14fffffffff,9.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,63.0,0.0,0.0
835f1efffffffff,6.0,0.0,0.0
835f22fffffffff,1.0,0.0,0.0
835f29fffffffff,60.0,0.0,0.0
835f2bfffffffff,76.0,0.0,0.0
835f2dfffffffff,16.0,0.0,0.0
835f40fffffffff,12.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f43fffffffff,1.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0
835f48fffffffff,7.0,0.0,0.0
835f4afffffffff,58.0,0.0,0.0
835f4bfffffffff,13.0,0.0,0.0
835f4efffffffff,3.0,0.0,0.0
835f50fffffffff,9.0,0.0,0.0
835f58fffffffff,1710.0,0.0,0.0
835f59fffffffff,139.0,0.0,0.0
835f5afffffffff,1.0,0.0,0.0
835f5bfffffffff,632.0,0.0,0.0
835f5dfffffffff,3.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0
835f68fffffffff,15.0,0.0,0.0
835f71fffffffff,13.0,0.0,0.0
835f74fffffffff,3.0,0.0,0.0
835f75fffffffff,28.0,0.0,0.0
836600fffffffff,6.0,0.0,0.0
836601fffffffff,5.0,0.0,0.0
836602fffffffff,230.0,0.0,0.0
836603fffffffff,8.0,0.0,0.0
836604fffffffff,21.0,0.0,0.0
836606fffffffff,62.0,0.0,0.0
836608fffffffff,1763.0,0.0,0.0
836609fffffffff,9.0,0.0,0.0
83660afffffffff,270.0,0.0,0.0
83660bfffffffff,87.0,0.0,0.0
83660cfffffffff,91.0,0.0,0.0
83660dfffffffff,62.0,0.0,0.0
83660efffffffff,103.0,0.0,0.0
836610fffffffff,1785.0,0.0,0.0
836611fffffffff,124.0,0.0,0.0
836612fffffffff,3.0,0.0,0.0
836613fffffffff,417.0,0.0,0.0
836616fffffffff,563.0,0.0,0.0
836618fffffffff,609.0,1.0,0.0
836619fffffffff,734.0,0.0,0.0
83661afffffffff,4.0,0.0,0.0
83661bfffffffff,1759.0,0.0,0.0
83661cfffffffff,77.0,0.0,0.0
83661dfffffffff,191.0,0.0,0.0
83661efffffffff,23.0,0.0,0.0
836620fffffffff,333.0,2.0,0.0
836621fffffffff,70.0,0.0,0.0
836622fffffffff,440.0,2.0,0.0
836623fffffffff,6.0,0.0,0.0
836625fffffffff,6.0,0.0,0.0
836628fffffffff,3.0,0.0,0.0
836629fffffffff,64.0,0.0,0.0
83662bfffffffff,48.0,0.0,0.0
83662cfffffffff,38.0,0.0,0.0
83662dfffffffff,22.0,0.0,0.0
83662efffffffff,30.0,0.0,0.0
836631fffffffff,223.0,0.0,0.0
836640fffffffff,2.0,0.0,0.0
836641fffffffff,128.0,0.0,0.0
836642fffffffff,3.0,0.0,0.0
836643fffffffff,1.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
83664cfffffffff,1.0,0.0,0.0
836650fffffffff,10.0,0.0,0.0
836652fffffffff,52.0,0.0,0.0
836654fffffffff,17.0,0.0,0.0
836656fffffffff,172.0,0.0,0.0
83665afffffffff,507.0,0.0,0.0
83665bfffffffff,199.0,0.0,0.0
83665efffffffff,8.0,0.0,0.0
836660fffffffff,4.0,0.0,0.0
836661fffffffff,1.0,0.0,0.0
836663fffffffff,22.0,0.0,0.0
836664fffffffff,2.0,0.0,0.0
83666afffffffff,2.0,0.0,0.0
83666bfffffffff,4.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0
836670fffffffff,14.0,0.0,0.0
836672fffffffff,18.0,0.0,0.0
836673fffffffff,22.0,0.0,0.0
836674fffffffff,1.0,0.0,0.0
836675fffffffff,36.0,0.0,0.0
836676fffffffff,20.0,0.0,0.0
8366a5fffffffff,2123.0,0.0,0.0
8366c0fffffffff,149.0,0.0,0.0
8366c1fffffffff,28.0,0.0,0.0
8366c2fffffffff,896.0,0.0,0.0
8366c3fffffffff,8.0,0.0,0.0
8366c4fffffffff,268.0,0.0,0.0
8366c5fffffffff,109.0,0.0,0.0
8366c6fffffffff,552.0,0.0,0.0
8366c9fffffffff,3.0,0.0,0.0
8366cdfffffffff,12.0,0.0,0.0
8366cefffffffff,80.0,0.0,0.0
8366d0fffffffff,40.0,0.0,19.0
8366d1fffffffff,60.0,0.0,0.0
8366d2fffffffff,46.0,0.0,46.0
8366d3fffffffff,270.0,0.0,200.0
8366d4fffffffff,1.0,0.0,0.0
8366d5fffffffff,48.0,0.0,0.0
8366d8fffffffff,8.0,0.0,0.0
8366dafffffffff,76.0,0.0,0.0
8366dbfffffffff,2.0,0.0,0.0
8366dcfffffffff,393.0,2.0,0.0
8366ddfffffffff,18.0,0.0,0.0
8366defffffffff,1723.0,3.0,0.0
8366e0fffffffff,620.0,0.0,0.0
8366e1fffffffff,417.0,0.0,0.0
8366e2fffffffff,43.0,0.0,0.0
8366e3fffffffff,77.0,0.0,0.0
8366e4fffffffff,1162.0,2.0,0.0
8366e5fffffffff,982.0,0.0,0.0
8366e6fffffffff,4226.0,0.0,0.0
8366e8fffffffff,7.0,0.0,0.0
8366e9fffffffff,12.0,0.0,0.0
8366ecfffffffff,260.0,0.0,0.0
8366eefffffffff,183.0,0.0,0.0
8366f0fffffffff,131.0,0.0,0.0
8366f1fffffffff,2597.0,0.0,0.0
8366f3fffffffff,6.0,0.0,0.0
8366f5fffffffff,1572.0,0.0,0.0
836741fffffffff,702.0,0.0,0.0
836742fffffffff,46.0,0.0,0.0
836743fffffffff,132.0,0.0,0.0
836748fffffffff,1.0,0.0,0.0
83674afffffffff,10.0,0.0,0.0
83674cfffffffff,509.0,0.0,0.0
83674efffffffff,156.0,0.0,0.0
836751fffffffff,104.0,0.0,0.0
836752fffffffff,22.0,0.0,0.0
836753fffffffff,93.0,0.0,0.0
836755fffffffff,15.0,0.0,0.0
836758fffffffff,2.0,0.0,0.0
836759fffffffff,12.0,0.0,0.0
83675afffffffff,36.0,0.0,0.0
83675bfffffffff,8.0,0.0,0.0
83675cfffffffff,54.0,0.0,0.0
83675dfffffffff,4.0,0.0,0.0
83675efffffffff,59.0,0.0,0.0
83676bfffffffff,2.0,0.0,0.0
83678bfffffffff,3.0,0.0,0.0
838006fffffffff,4.0,0.0,0.0
83800cfffffffff,2.0,0.0,0.0
838010fffffffff,2.0,0.0,0.0
838016fffffffff,1.0,0.0,0.0
838036fffffffff,3.0,0.0,0.0
838040fffffffff,2.0,0.0,0.0
838044fffffffff,133.0,0.0,0.0
838046fffffffff,63.0,0.0,0.0
83804cfffffffff,1.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
83806bfffffffff,8.0,0.0,0.0
838071fffffffff,5.0,0.0,0.0
838072fffffffff,1.0,0.0,0.0
838073fffffffff,6.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838100fffffffff,3.0,0.0,0.0
838102fffffffff,2.0,0.0,0.0
838106fffffffff,4.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838116fffffffff,4.0,0.0,0.0
838121fffffffff,5.0,0.0,0.0
838124fffffffff,17.0,0.0,0.0
838129fffffffff,2.0,0.0,0.0
83812dfffffffff,1.0,0.0,0.0
838130fffffffff,17.0,0.0,0.0
838132fffffffff,56.0,0.0,0.0
838133fffffffff,107.0,0.0,0.0
838134fffffffff,8.0,0.0,0.0
838136fffffffff,31.0,0.0,0.0
838140fffffffff,5.0,0.0,0.0
838143fffffffff,9.0,0.0,0.0
838144fffffffff,4.0,0.0,0.0
838145fffffffff,4.0,0.0,0.0
838146fffffffff,4.0,0.0,0.0
83814afffffffff,40.0,0.0,0.0
83814cfffffffff,6.0,0.0,0.0
83814dfffffffff,58.0,0.0,0.0
83814efffffffff,31.0,0.0,0.0
838151fffffffff,2.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
83815dfffffffff,39.0,0.0,0.0
838162fffffffff,15.0,0.0,0.0
838163fffffffff,12.0,0.0,0.0
838166fffffffff,4.0,0.0,0.0
