cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
824527fffffffff,33.0,0.0,0.0
82452ffffffffff,57.0,0.0,0.0
824817fffffffff,1.0,0.0,0.0
824837fffffffff,8.0,0.0,0.0
8248b7fffffffff,199.0,11.0,0.0
8248effffffffff,269.0,12.0,0.0
824987fffffffff,11.0,0.0,0.0
824997fffffffff,39.0,7.0,0.0
82499ffffffffff,7.0,0.0,0.0
8249a7fffffffff,8.0,0.0,0.0
8249affffffffff,3.0,0.0,0.0
826687fffffffff,3.0,0.0,0.0
8266a7fffffffff,17.0,6.0,0.0
8266b7fffffffff,12.0,3.0,0.0
8266d7fffffffff,9.0,0.0,9.0
826d07fffffffff,2.0,0.0,0.0
826d17fffffffff,9.0,2.0,0.0
826d27fffffffff,11.0,0.0,0.0
826d2ffffffffff,16.0,0.0,0.0
826d37fffffffff,23.0,3.0,0.0
826d67fffffffff,41.0,0.0,0.0
826d6ffffffffff,61.0,57.0,0.0
828f2ffffffffff,4.0,0.0,4.0
