cell_id,Dicrurus adsimilis,Dicrurus adsimilis apivorus,Dicrurus adsimilis [adsimilis Group],Dicrurus adsimilis divaricatus/lugubris
83528afffffffff,2.0,0.0,0.0,0.0
83528efffffffff,4.0,0.0,0.0,0.0
835298fffffffff,3.0,0.0,0.0,0.0
835299fffffffff,2.0,0.0,0.0,0.0
83529bfffffffff,3.0,0.0,0.0,0.0
8352cafffffffff,2.0,0.0,0.0,0.0
8352d4fffffffff,3.0,0.0,0.0,0.0
8354a9fffffffff,4.0,0.0,0.0,4.0
836a45fffffffff,12.0,0.0,0.0,0.0
836a49fffffffff,2.0,0.0,0.0,0.0
836a61fffffffff,4.0,0.0,0.0,0.0
836a65fffffffff,8.0,0.0,0.0,0.0
836a69fffffffff,11.0,0.0,0.0,0.0
837a40fffffffff,32.0,0.0,7.0,0.0
837a41fffffffff,18.0,0.0,0.0,0.0
837a48fffffffff,10.0,0.0,0.0,0.0
837a4cfffffffff,18.0,0.0,0.0,0.0
837a5afffffffff,5.0,0.0,0.0,0.0
837a60fffffffff,3.0,0.0,3.0,0.0
837a68fffffffff,1.0,0.0,0.0,0.0
837a6afffffffff,19.0,0.0,19.0,0.0
837a6cfffffffff,1.0,0.0,0.0,0.0
837a6efffffffff,4.0,0.0,2.0,0.0
837ac1fffffffff,3.0,0.0,0.0,0.0
837ac8fffffffff,98.0,0.0,0.0,0.0
837acafffffffff,5.0,0.0,0.0,0.0
837acbfffffffff,1.0,0.0,0.0,0.0
837accfffffffff,8.0,0.0,0.0,0.0
837acdfffffffff,22.0,0.0,0.0,1.0
837ad9fffffffff,124.0,0.0,0.0,0.0
837ae8fffffffff,50.0,0.0,0.0,0.0
837ae9fffffffff,49.0,0.0,0.0,0.0
837aeafffffffff,10.0,0.0,0.0,0.0
837aebfffffffff,3.0,0.0,0.0,0.0
837aedfffffffff,8.0,0.0,0.0,0.0
837b4cfffffffff,5.0,0.0,0.0,0.0
837b59fffffffff,5.0,0.0,1.0,0.0
8382a0fffffffff,9.0,0.0,0.0,0.0
8382a5fffffffff,2.0,0.0,0.0,0.0
839623fffffffff,1.0,0.0,1.0,0.0
839690fffffffff,2.0,0.0,0.0,0.0
839693fffffffff,1.0,0.0,0.0,0.0
83969afffffffff,1.0,0.0,0.0,0.0
8396b1fffffffff,63.0,0.0,0.0,0.0
8396b5fffffffff,16.0,0.0,0.0,0.0
8396b6fffffffff,1.0,0.0,0.0,0.0
839728fffffffff,8.0,0.0,8.0,0.0
83972cfffffffff,3.0,0.0,3.0,0.0
83972efffffffff,15.0,0.0,13.0,0.0
839743fffffffff,1.0,0.0,0.0,0.0
83974afffffffff,2.0,0.0,0.0,0.0
83974efffffffff,4.0,0.0,0.0,0.0
839751fffffffff,3.0,0.0,0.0,0.0
83975cfffffffff,1.0,0.0,0.0,0.0
83ad86fffffffff,3.0,2.0,0.0,0.0
83bc0bfffffffff,2.0,0.0,0.0,0.0
83bc1bfffffffff,2.0,0.0,0.0,0.0
83bc44fffffffff,4.0,0.0,0.0,0.0
83bc45fffffffff,3.0,0.0,0.0,0.0
83bcc4fffffffff,3.0,0.0,3.0,0.0
83bcc6fffffffff,2.0,0.0,2.0,0.0
83bcd0fffffffff,35.0,0.0,26.0,0.0
83bcd1fffffffff,1.0,0.0,1.0,0.0
83bcd2fffffffff,50.0,0.0,41.0,0.0
83bcd6fffffffff,12.0,0.0,10.0,0.0
83bcdcfffffffff,18.0,11.0,5.0,0.0
83bcddfffffffff,3.0,0.0,0.0,0.0
83bcdefffffffff,6.0,0.0,6.0,0.0
83bcf5fffffffff,1.0,0.0,0.0,0.0
