cell_id,Oenanthe picata,Oenanthe picata picata,Oenanthe picata capistrata,Oenanthe picata opistholeuca
8420165ffffffff,2.0,0.0,0.0,0.0
8420803ffffffff,3.0,0.0,0.0,3.0
842080bffffffff,5.0,3.0,0.0,2.0
8420839ffffffff,3.0,0.0,0.0,3.0
8420999ffffffff,3.0,0.0,0.0,0.0
842099bffffffff,6.0,0.0,0.0,0.0
8420a5bffffffff,2.0,0.0,0.0,0.0
8420b39ffffffff,2.0,0.0,0.0,2.0
842c931ffffffff,3.0,0.0,0.0,0.0
843c029ffffffff,11.0,0.0,0.0,0.0
843d049ffffffff,2.0,0.0,0.0,0.0
843d107ffffffff,5.0,0.0,0.0,0.0
843d139ffffffff,1.0,0.0,0.0,0.0
843d13dffffffff,4.0,0.0,0.0,0.0
843d149ffffffff,3.0,0.0,0.0,0.0
843d225ffffffff,1.0,0.0,0.0,0.0
843d227ffffffff,3.0,0.0,0.0,0.0
843d307ffffffff,3.0,0.0,0.0,0.0
843d30dffffffff,1.0,0.0,0.0,0.0
843d323ffffffff,26.0,0.0,0.0,0.0
843d32bffffffff,4.0,0.0,0.0,0.0
843d34bffffffff,1.0,0.0,0.0,0.0
843d363ffffffff,16.0,0.0,0.0,0.0
843d36bffffffff,6.0,0.0,0.0,0.0
843d851ffffffff,6.0,0.0,0.0,0.0
843da11ffffffff,4.0,0.0,0.0,0.0
843da69ffffffff,8.0,2.0,2.0,2.0
843dad5ffffffff,1.0,0.0,0.0,0.0
843daddffffffff,1.0,0.0,0.0,0.0
843db35ffffffff,26.0,0.0,0.0,0.0
843db37ffffffff,15.0,1.0,0.0,1.0
843db39ffffffff,8.0,0.0,0.0,0.0
843db51ffffffff,2.0,0.0,0.0,0.0
843db57ffffffff,3.0,0.0,0.0,0.0
843db6dffffffff,2.0,0.0,0.0,0.0
8442531ffffffff,28.0,2.0,1.0,1.0
8442533ffffffff,7.0,0.0,0.0,0.0
844259dffffffff,9.0,1.0,0.0,0.0
8442c07ffffffff,2.0,0.0,0.0,0.0
8442c11ffffffff,3.0,0.0,0.0,0.0
8442c13ffffffff,9.0,1.0,0.0,0.0
8442c1bffffffff,5.0,0.0,0.0,0.0
8442c43ffffffff,4.0,0.0,4.0,0.0
8442c47ffffffff,1.0,0.0,0.0,0.0
8442c4bffffffff,4.0,0.0,1.0,1.0
8442c5dffffffff,9.0,0.0,0.0,6.0
8442cb9ffffffff,3.0,0.0,0.0,0.0
8442cc5ffffffff,2.0,0.0,0.0,0.0
8442cc7ffffffff,14.0,0.0,0.0,0.0
8442cddffffffff,1.0,0.0,0.0,0.0
8442ce9ffffffff,2.0,0.0,0.0,2.0
8442e27ffffffff,1.0,0.0,0.0,1.0
8442e37ffffffff,7.0,0.0,3.0,0.0
8442ea5ffffffff,5.0,2.0,0.0,0.0
8442ea7ffffffff,2.0,0.0,0.0,0.0
8442eabffffffff,4.0,0.0,0.0,0.0
8443ac3ffffffff,3.0,0.0,0.0,0.0
8460045ffffffff,3.0,0.0,0.0,0.0
8460069ffffffff,16.0,0.0,0.0,0.0
8460857ffffffff,1.0,0.0,0.0,0.0
84609ebffffffff,2.0,0.0,0.0,0.0
