cell_id,Spermestes bicolor,Spermestes bicolor bicolor/poensis,Spermestes bicolor nigriceps/woltersi
8254e7fffffffff,3.0,0.0,0.0
8254effffffffff,3.0,0.0,0.0
8254f7fffffffff,5.0,0.0,0.0
825887fffffffff,4.0,0.0,0.0
825897fffffffff,41.0,1.0,0.0
82589ffffffffff,6.0,0.0,0.0
8258d7fffffffff,34.0,20.0,0.0
8258dffffffffff,17.0,6.0,0.0
8258f7fffffffff,2.0,0.0,0.0
826a9ffffffffff,3.0,3.0,0.0
826ac7fffffffff,446.0,81.0,0.0
826acffffffffff,224.0,36.0,0.0
826adffffffffff,409.0,34.0,0.0
826aeffffffffff,138.0,2.0,0.0
826af7fffffffff,2.0,0.0,0.0
82750ffffffffff,391.0,106.0,0.0
82751ffffffffff,5.0,0.0,0.0
827527fffffffff,2.0,2.0,0.0
82752ffffffffff,237.0,55.0,0.0
827577fffffffff,1.0,0.0,0.0
827587fffffffff,4.0,0.0,0.0
8275a7fffffffff,4.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0
827a47fffffffff,276.0,0.0,140.0
827a4ffffffffff,189.0,27.0,0.0
827a67fffffffff,166.0,0.0,119.0
827a6ffffffffff,209.0,0.0,33.0
827acffffffffff,58.0,12.0,0.0
827aeffffffffff,2.0,0.0,0.0
827b4ffffffffff,205.0,0.0,90.0
827b5ffffffffff,48.0,0.0,0.0
827b6ffffffffff,13.0,0.0,8.0
828287fffffffff,8.0,2.0,0.0
82828ffffffffff,140.0,23.0,0.0
828297fffffffff,1.0,1.0,0.0
8282a7fffffffff,3.0,0.0,0.0
8282affffffffff,26.0,12.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282d7fffffffff,129.0,57.0,0.0
8282dffffffffff,2.0,0.0,0.0
8282f7fffffffff,27.0,12.0,0.0
828317fffffffff,15.0,3.0,0.0
828387fffffffff,2.0,0.0,0.0
82838ffffffffff,2.0,0.0,0.0
82839ffffffffff,13.0,9.0,0.0
8283affffffffff,6.0,1.0,0.0
829607fffffffff,20.0,0.0,13.0
82960ffffffffff,17.0,0.0,12.0
829617fffffffff,1.0,0.0,0.0
829627fffffffff,45.0,0.0,45.0
82962ffffffffff,2.0,0.0,0.0
829637fffffffff,8.0,0.0,0.0
829657fffffffff,3.0,0.0,3.0
829677fffffffff,2.0,0.0,2.0
82968ffffffffff,2.0,0.0,2.0
829697fffffffff,373.0,0.0,193.0
8296a7fffffffff,12.0,0.0,2.0
8296b7fffffffff,86.0,1.0,25.0
8296effffffffff,1.0,0.0,0.0
829707fffffffff,41.0,0.0,32.0
829717fffffffff,92.0,0.0,68.0
82971ffffffffff,81.0,0.0,53.0
829727fffffffff,7.0,0.0,4.0
82972ffffffffff,64.0,0.0,43.0
829737fffffffff,3.0,0.0,1.0
829757fffffffff,6.0,0.0,6.0
82978ffffffffff,17.0,0.0,6.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,32.0,0.0,25.0
82bc1ffffffffff,19.0,0.0,9.0
82bc8ffffffffff,32.0,0.0,20.0
82bc9ffffffffff,8.0,0.0,6.0
82bcd7fffffffff,54.0,0.0,34.0
82bcdffffffffff,2.0,0.0,0.0
82bce7fffffffff,331.0,0.0,286.0
82bcf7fffffffff,311.0,0.0,215.0
