cell_id,Myiopsitta monachus,Myiopsitta monachus [monachus Group],Myiopsitta monachus luchsi
841969bffffffff,2.0,0.0,0.0
841969dffffffff,4.0,0.0,0.0
84196b1ffffffff,8.0,0.0,0.0
84196bbffffffff,1.0,0.0,0.0
841e805ffffffff,292.0,2.0,0.0
841e80dffffffff,1.0,0.0,0.0
841e863ffffffff,12.0,0.0,0.0
841e86bffffffff,2.0,0.0,0.0
841e881ffffffff,2.0,0.0,0.0
841e929ffffffff,14.0,0.0,0.0
841eda3ffffffff,2.0,0.0,0.0
841eda7ffffffff,231.0,0.0,0.0
841f991ffffffff,5.0,0.0,0.0
841f9b9ffffffff,1.0,0.0,0.0
841fa45ffffffff,1.0,0.0,0.0
841fb0dffffffff,1.0,0.0,0.0
8426641ffffffff,314.0,21.0,0.0
8426645ffffffff,49.0,0.0,0.0
842664dffffffff,744.0,65.0,0.0
8426c83ffffffff,6.0,0.0,0.0
8426c85ffffffff,2.0,0.0,0.0
8426c87ffffffff,20.0,0.0,0.0
8426cabffffffff,1.0,0.0,0.0
8426cb9ffffffff,814.0,13.0,0.0
8426cbdffffffff,55.0,0.0,0.0
8427593ffffffff,201.0,3.0,0.0
842759bffffffff,3.0,0.0,0.0
8429a4dffffffff,42.0,0.0,0.0
8429b6dffffffff,7.0,0.0,0.0
842a101ffffffff,974.0,43.0,0.0
842a103ffffffff,393.0,16.0,0.0
842a105ffffffff,2.0,0.0,0.0
842a107ffffffff,2348.0,42.0,0.0
842a109ffffffff,1310.0,75.0,0.0
842a10bffffffff,397.0,33.0,0.0
842a143ffffffff,529.0,18.0,0.0
842a155ffffffff,1.0,0.0,0.0
842a15dffffffff,120.0,4.0,0.0
842a303ffffffff,9.0,0.0,0.0
842a307ffffffff,5.0,0.0,0.0
842db01ffffffff,815.0,53.0,0.0
842db03ffffffff,4.0,0.0,0.0
842db05ffffffff,480.0,44.0,0.0
842db0bffffffff,71.0,14.0,0.0
842db0dffffffff,499.0,74.0,0.0
842db15ffffffff,2.0,0.0,0.0
842db1dffffffff,6.0,0.0,0.0
842db29ffffffff,25.0,0.0,0.0
842db2bffffffff,16.0,0.0,0.0
842db2dffffffff,1.0,0.0,0.0
842db63ffffffff,15.0,0.0,0.0
842db67ffffffff,8.0,0.0,0.0
8434413ffffffff,4.0,0.0,0.0
84344c5ffffffff,9.0,0.0,0.0
84344cbffffffff,117.0,0.0,0.0
84344cdffffffff,18.0,0.0,0.0
8434699ffffffff,1.0,0.0,0.0
84346a7ffffffff,2.0,0.0,0.0
84346b5ffffffff,3.0,0.0,0.0
8438247ffffffff,354.0,0.0,0.0
8438253ffffffff,12.0,0.0,0.0
8438255ffffffff,4.0,0.0,0.0
843825bffffffff,200.0,0.0,0.0
8438353ffffffff,6.0,0.0,0.0
8439003ffffffff,11.0,0.0,0.0
8439013ffffffff,3.0,0.0,0.0
843903dffffffff,12.0,0.0,0.0
84390a1ffffffff,19.0,0.0,0.0
84390adffffffff,1.0,0.0,0.0
84390c1ffffffff,2.0,0.0,0.0
84390c9ffffffff,55.0,0.0,0.0
84390cbffffffff,5288.0,0.0,0.0
8439181ffffffff,4.0,0.0,0.0
8439183ffffffff,292.0,0.0,0.0
8439185ffffffff,2.0,0.0,0.0
8439187ffffffff,130.0,0.0,0.0
8439189ffffffff,2.0,0.0,0.0
843918bffffffff,1.0,0.0,0.0
8439191ffffffff,2.0,0.0,0.0
8439193ffffffff,6.0,0.0,0.0
8439195ffffffff,1362.0,0.0,0.0
8439197ffffffff,27.0,0.0,0.0
843919bffffffff,28.0,0.0,0.0
84391abffffffff,148.0,0.0,0.0
84391b9ffffffff,133.0,0.0,0.0
84391c3ffffffff,2.0,0.0,0.0
84391c5ffffffff,4.0,0.0,0.0
84391c7ffffffff,293.0,0.0,0.0
84391d1ffffffff,15.0,0.0,0.0
84391e1ffffffff,188.0,0.0,0.0
84391e3ffffffff,37.0,0.0,0.0
84391ebffffffff,3.0,0.0,0.0
8439205ffffffff,1.0,0.0,0.0
843920dffffffff,18.0,0.0,0.0
8439221ffffffff,269.0,0.0,0.0
84392b5ffffffff,67.0,0.0,0.0
84392b7ffffffff,24.0,0.0,0.0
8439441ffffffff,2.0,0.0,0.0
8439443ffffffff,94.0,0.0,0.0
8439445ffffffff,10.0,0.0,0.0
8439447ffffffff,2182.0,1.0,0.0
8439449ffffffff,2.0,0.0,0.0
8439455ffffffff,20.0,0.0,0.0
8439459ffffffff,114.0,0.0,0.0
843945dffffffff,33.0,0.0,0.0
8439469ffffffff,83.0,0.0,0.0
843946bffffffff,47.0,0.0,0.0
843946dffffffff,5.0,0.0,0.0
843950dffffffff,1.0,0.0,0.0
843952dffffffff,76.0,0.0,0.0
8439541ffffffff,268.0,0.0,0.0
8439547ffffffff,5.0,0.0,0.0
843954bffffffff,2.0,0.0,0.0
8439565ffffffff,12.0,0.0,0.0
8439567ffffffff,130.0,0.0,0.0
8439709ffffffff,10.0,0.0,0.0
8439711ffffffff,20.0,0.0,0.0
8439717ffffffff,3.0,0.0,0.0
8439733ffffffff,3.0,0.0,0.0
843e689ffffffff,5.0,0.0,0.0
843e68dffffffff,4.0,0.0,0.0
8444125ffffffff,4.0,0.0,0.0
8444131ffffffff,796.0,21.0,0.0
8444133ffffffff,213.0,10.0,0.0
8444135ffffffff,44.0,0.0,0.0
8444137ffffffff,12.0,0.0,0.0
844413bffffffff,2.0,0.0,0.0
844413dffffffff,4.0,2.0,0.0
8444161ffffffff,2.0,0.0,0.0
8444165ffffffff,34.0,1.0,0.0
844416bffffffff,3.0,0.0,0.0
84441a1ffffffff,21.0,0.0,0.0
84441a3ffffffff,9.0,0.0,0.0
84441a5ffffffff,7.0,0.0,0.0
84441a9ffffffff,1543.0,43.0,0.0
84441abffffffff,430.0,4.0,0.0
84441adffffffff,13.0,0.0,0.0
84441e1ffffffff,32.0,0.0,0.0
84441e3ffffffff,74.0,0.0,0.0
84441e5ffffffff,56.0,0.0,0.0
84441e7ffffffff,400.0,4.0,0.0
84441edffffffff,4.0,0.0,0.0
8444465ffffffff,1512.0,0.0,0.0
844446dffffffff,2.0,0.0,0.0
84446c1ffffffff,464.0,15.0,0.0
84446c3ffffffff,27.0,0.0,0.0
84446c5ffffffff,6.0,0.0,0.0
84446c9ffffffff,2.0,0.0,0.0
84446cbffffffff,234.0,3.0,0.0
84446cdffffffff,453.0,14.0,0.0
84446ddffffffff,73.0,0.0,0.0
8444733ffffffff,2.0,0.0,0.0
844473bffffffff,4.0,0.0,0.0
8444a11ffffffff,977.0,26.0,0.0
8444a13ffffffff,1407.0,7.0,0.0
8444a19ffffffff,1779.0,100.0,0.0
8444a1bffffffff,191.0,7.0,0.0
8444a51ffffffff,99.0,4.0,0.0
8444a53ffffffff,153.0,11.0,0.0
8444a57ffffffff,4.0,0.0,0.0
8444a5bffffffff,36.0,9.0,0.0
8444a81ffffffff,43.0,3.0,0.0
8444a83ffffffff,20.0,0.0,0.0
8444a85ffffffff,1.0,0.0,0.0
8444a87ffffffff,2.0,0.0,0.0
8444a8dffffffff,6.0,0.0,0.0
8444a91ffffffff,60.0,0.0,0.0
8444a99ffffffff,37.0,0.0,0.0
8444a9dffffffff,24.0,0.0,0.0
8444ab9ffffffff,19.0,2.0,0.0
8444abbffffffff,2.0,0.0,0.0
8444ac1ffffffff,5.0,0.0,0.0
8444ac5ffffffff,561.0,22.0,0.0
8444ad3ffffffff,1.0,0.0,0.0
8444ad7ffffffff,1.0,0.0,0.0
8444ad9ffffffff,82.0,2.0,0.0
8444ae9ffffffff,2157.0,54.0,0.0
8444aebffffffff,92.0,4.0,0.0
8445749ffffffff,198.0,3.0,0.0
8445a33ffffffff,90.0,0.0,0.0
8448017ffffffff,4.0,0.0,0.0
844802bffffffff,18.0,0.0,0.0
8448059ffffffff,2.0,0.0,0.0
8448087ffffffff,4.0,0.0,0.0
84480bbffffffff,2.0,0.0,0.0
84480ddffffffff,15.0,0.0,0.0
84480edffffffff,6.0,0.0,0.0
8448125ffffffff,10.0,0.0,0.0
8448127ffffffff,4.0,0.0,0.0
8448147ffffffff,60.0,0.0,0.0
84481a7ffffffff,12.0,0.0,0.0
84481b5ffffffff,10.0,0.0,0.0
844823bffffffff,2.0,0.0,0.0
84482a9ffffffff,3.0,0.0,0.0
84482adffffffff,136.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
844833bffffffff,10.0,0.0,0.0
8448363ffffffff,4.0,0.0,0.0
8448365ffffffff,7.0,0.0,0.0
8448369ffffffff,4.0,0.0,0.0
84484a5ffffffff,108.0,0.0,0.0
84484a7ffffffff,2.0,0.0,0.0
8448565ffffffff,18.0,0.0,0.0
8448567ffffffff,76.0,0.0,0.0
8448585ffffffff,2.0,0.0,0.0
8448595ffffffff,5.0,0.0,0.0
84485b9ffffffff,2.0,0.0,0.0
84485bbffffffff,118.0,0.0,0.0
8448733ffffffff,98.0,0.0,0.0
8448737ffffffff,2.0,0.0,0.0
844880dffffffff,181.0,0.0,0.0
8448923ffffffff,47.0,0.0,0.0
8448951ffffffff,128.0,3.0,0.0
8448953ffffffff,22.0,3.0,0.0
8448955ffffffff,201.0,16.0,0.0
8448985ffffffff,5.0,0.0,0.0
844898dffffffff,1.0,0.0,0.0
84489a1ffffffff,4.0,0.0,0.0
84489abffffffff,4.0,0.0,0.0
84489c1ffffffff,223.0,10.0,0.0
84489c9ffffffff,2.0,0.0,0.0
84489cdffffffff,3.0,0.0,0.0
84489e3ffffffff,3158.0,127.0,0.0
84489ebffffffff,70.0,0.0,0.0
8448a05ffffffff,14.0,0.0,0.0
8448a07ffffffff,90.0,0.0,0.0
8448a1bffffffff,1.0,0.0,0.0
8448a21ffffffff,81.0,0.0,0.0
8448b15ffffffff,10.0,2.0,0.0
8448b39ffffffff,1072.0,40.0,0.0
8448c61ffffffff,24.0,4.0,0.0
8448c69ffffffff,4.0,0.0,0.0
8448c6dffffffff,55.0,3.0,0.0
8448d65ffffffff,25.0,0.0,0.0
8448e5bffffffff,423.0,1.0,0.0
8448ebbffffffff,59.0,7.0,0.0
8448eedffffffff,4.0,0.0,0.0
8449807ffffffff,15.0,0.0,0.0
844980bffffffff,7.0,0.0,0.0
8449815ffffffff,67.0,0.0,0.0
8449823ffffffff,4.0,0.0,0.0
8449831ffffffff,18.0,0.0,0.0
8449837ffffffff,3.0,0.0,0.0
844983bffffffff,3.0,0.0,0.0
844983dffffffff,122.0,0.0,0.0
8449865ffffffff,7.0,0.0,0.0
844988dffffffff,1.0,0.0,0.0
84498c9ffffffff,55.0,0.0,0.0
84498e3ffffffff,9.0,0.0,0.0
84498edffffffff,58.0,0.0,0.0
8449943ffffffff,11.0,0.0,0.0
844994bffffffff,261.0,0.0,0.0
844994dffffffff,3.0,0.0,0.0
8449951ffffffff,129.0,0.0,0.0
8449953ffffffff,94.0,0.0,0.0
8449957ffffffff,30.0,0.0,0.0
8449959ffffffff,1847.0,41.0,0.0
844995bffffffff,904.0,6.0,0.0
844995dffffffff,10.0,0.0,0.0
8449961ffffffff,3.0,0.0,0.0
8449963ffffffff,9.0,0.0,0.0
8449965ffffffff,498.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
84499b1ffffffff,2.0,0.0,0.0
84499cdffffffff,2.0,0.0,0.0
8449a83ffffffff,11.0,0.0,0.0
8449a93ffffffff,4.0,0.0,0.0
8449aa3ffffffff,238.0,16.0,0.0
8449aabffffffff,2.0,0.0,0.0
8449ab5ffffffff,32.0,2.0,0.0
8449b31ffffffff,2.0,0.0,0.0
8449b33ffffffff,104.0,0.0,0.0
8449b37ffffffff,62.0,0.0,0.0
844cc0bffffffff,371.0,0.0,0.0
844cc43ffffffff,167.0,0.0,0.0
844cc51ffffffff,27.0,0.0,0.0
844cc53ffffffff,246.0,0.0,0.0
844cc55ffffffff,85.0,0.0,0.0
844cc57ffffffff,200.0,0.0,0.0
844cc59ffffffff,1469.0,0.0,0.0
844cc5bffffffff,85.0,0.0,0.0
844cc5dffffffff,487.0,0.0,0.0
844cea9ffffffff,126.0,0.0,0.0
844ceadffffffff,804.0,0.0,0.0
844cee3ffffffff,99.0,0.0,0.0
844cee5ffffffff,1772.0,0.0,0.0
844cee7ffffffff,1195.0,0.0,0.0
845536dffffffff,79.0,0.0,0.0
846520dffffffff,1.0,0.0,0.0
8465263ffffffff,38.0,0.0,0.0
846526bffffffff,4.0,0.0,0.0
846d231ffffffff,152.0,0.0,0.0
846d32bffffffff,174.0,0.0,0.0
846d33dffffffff,1.0,0.0,0.0
846d34dffffffff,793.0,0.0,0.0
848b129ffffffff,2.0,0.0,0.0
848b203ffffffff,2.0,0.0,0.0
848b20bffffffff,234.0,0.0,184.0
848b21dffffffff,4.0,0.0,0.0
848b221ffffffff,20.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0
848b22dffffffff,69.0,5.0,0.0
848b249ffffffff,2.0,0.0,2.0
848b24bffffffff,6.0,0.0,2.0
848b251ffffffff,28.0,0.0,21.0
848b259ffffffff,44.0,0.0,26.0
848b25dffffffff,6.0,0.0,4.0
848b267ffffffff,1.0,1.0,0.0
848b2c9ffffffff,12.0,0.0,3.0
848b2e9ffffffff,1.0,0.0,0.0
848b313ffffffff,1.0,0.0,0.0
848b345ffffffff,2.0,2.0,0.0
848b93dffffffff,1.0,0.0,0.0
848ba0dffffffff,5.0,0.0,0.0
848ba55ffffffff,3.0,0.0,0.0
848ba65ffffffff,2.0,0.0,0.0
848ba6dffffffff,19.0,0.0,0.0
848bb59ffffffff,23.0,2.0,0.0
84a801bffffffff,2.0,0.0,0.0
84a805dffffffff,2.0,0.0,0.0
84a820dffffffff,1.0,0.0,0.0
84a8219ffffffff,4.0,0.0,0.0
84a821bffffffff,1.0,0.0,0.0
84a8241ffffffff,9.0,0.0,0.0
84a8245ffffffff,53.0,0.0,0.0
84a8247ffffffff,1.0,0.0,0.0
84a824bffffffff,3.0,0.0,0.0
84a8251ffffffff,2.0,0.0,0.0
84a8255ffffffff,2.0,0.0,0.0
84a8257ffffffff,26.0,0.0,0.0
84a825bffffffff,7.0,0.0,0.0
84a826dffffffff,3.0,0.0,0.0
84a8289ffffffff,2.0,0.0,0.0
84a8291ffffffff,8.0,0.0,0.0
84a8293ffffffff,1.0,0.0,0.0
84a82c3ffffffff,2.0,0.0,0.0
84a82c5ffffffff,3.0,0.0,0.0
84a82c9ffffffff,6.0,0.0,0.0
84a82d3ffffffff,9.0,0.0,0.0
84a82dbffffffff,2.0,0.0,0.0
84a8313ffffffff,3.0,0.0,0.0
84a8315ffffffff,2.0,0.0,0.0
84a834bffffffff,10.0,0.0,0.0
84a8357ffffffff,2.0,0.0,0.0
84a835dffffffff,4.0,0.0,0.0
84a8403ffffffff,126.0,2.0,0.0
84a8405ffffffff,24.0,0.0,0.0
84a840dffffffff,271.0,0.0,0.0
84a8411ffffffff,43.0,0.0,0.0
84a8415ffffffff,1.0,0.0,0.0
84a8417ffffffff,9.0,0.0,0.0
84a841bffffffff,2.0,0.0,0.0
84a841dffffffff,2.0,0.0,0.0
84a8421ffffffff,18.0,0.0,0.0
84a842bffffffff,9.0,0.0,0.0
84a8439ffffffff,11.0,0.0,0.0
84a8441ffffffff,3.0,0.0,0.0
84a844dffffffff,1.0,0.0,0.0
84a8453ffffffff,2.0,0.0,0.0
84a845bffffffff,74.0,0.0,0.0
84a8461ffffffff,14.0,0.0,0.0
84a8463ffffffff,258.0,21.0,0.0
84a846bffffffff,2.0,0.0,0.0
84a84a3ffffffff,6.0,0.0,0.0
84a84a5ffffffff,13.0,4.0,0.0
84a84b5ffffffff,1.0,0.0,0.0
84a84e1ffffffff,5.0,0.0,0.0
84a84e7ffffffff,24.0,0.0,0.0
84a84edffffffff,9.0,0.0,0.0
84a8513ffffffff,2.0,0.0,0.0
84a8565ffffffff,1.0,0.0,0.0
84a8591ffffffff,1751.0,76.0,0.0
84a8593ffffffff,7.0,0.0,0.0
84a8597ffffffff,13.0,0.0,0.0
84a8599ffffffff,563.0,17.0,0.0
84a859bffffffff,26.0,6.0,0.0
84a85b3ffffffff,1.0,0.0,0.0
84a85b7ffffffff,4.0,0.0,0.0
84a85b9ffffffff,3.0,0.0,0.0
84a85d1ffffffff,2.0,0.0,0.0
84a85d3ffffffff,1352.0,55.0,0.0
84a85d7ffffffff,108.0,5.0,0.0
84a85dbffffffff,4.0,0.0,0.0
84a8605ffffffff,10.0,0.0,0.0
84a8607ffffffff,4.0,0.0,0.0
84a860dffffffff,8.0,0.0,0.0
84a8615ffffffff,5.0,0.0,0.0
84a8617ffffffff,9.0,0.0,0.0
84a8629ffffffff,3.0,0.0,0.0
84a862dffffffff,2.0,0.0,0.0
84a8633ffffffff,2.0,0.0,0.0
84a8639ffffffff,16.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8647ffffffff,15.0,0.0,0.0
84a8649ffffffff,1.0,0.0,0.0
84a864bffffffff,2.0,0.0,0.0
84a864dffffffff,7.0,0.0,0.0
84a8651ffffffff,2.0,0.0,0.0
84a8653ffffffff,2.0,0.0,0.0
84a865bffffffff,112.0,0.0,0.0
84a8663ffffffff,1.0,0.0,0.0
84a866bffffffff,2.0,0.0,0.0
84a8691ffffffff,7.0,0.0,0.0
84a86a1ffffffff,4.0,0.0,0.0
84a86a5ffffffff,4.0,0.0,0.0
84a86adffffffff,7.0,0.0,0.0
84a86c3ffffffff,12.0,0.0,0.0
84a86d3ffffffff,2.0,0.0,0.0
84a86d5ffffffff,5.0,0.0,0.0
84a86e7ffffffff,8.0,0.0,0.0
84a8737ffffffff,4.0,2.0,0.0
84a8751ffffffff,2.0,0.0,0.0
84a8759ffffffff,11.0,0.0,0.0
84a8763ffffffff,2.0,0.0,0.0
84a8765ffffffff,3.0,0.0,0.0
84a8769ffffffff,1.0,0.0,0.0
84a876bffffffff,1.0,0.0,0.0
84a876dffffffff,5.0,0.0,0.0
84a8a07ffffffff,130.0,2.0,0.0
84a9011ffffffff,42.0,0.0,0.0
84a9013ffffffff,227.0,3.0,0.0
84a9015ffffffff,3.0,0.0,0.0
84a9017ffffffff,88.0,0.0,0.0
84a901dffffffff,16.0,0.0,0.0
84a9031ffffffff,19.0,2.0,0.0
84a9033ffffffff,7.0,0.0,0.0
84a9039ffffffff,2.0,0.0,0.0
84a903bffffffff,17.0,3.0,0.0
84a9051ffffffff,95.0,19.0,0.0
84a9053ffffffff,2.0,0.0,0.0
84a9057ffffffff,75.0,9.0,0.0
84a9059ffffffff,2.0,0.0,0.0
84a9081ffffffff,2.0,0.0,0.0
84a9085ffffffff,6.0,0.0,0.0
84a9087ffffffff,2.0,0.0,0.0
84a908bffffffff,2.0,0.0,0.0
84a908dffffffff,7.0,0.0,0.0
84a9091ffffffff,7.0,0.0,0.0
84a9095ffffffff,46.0,0.0,0.0
84a9097ffffffff,2.0,0.0,0.0
84a909dffffffff,37.0,0.0,0.0
84a90a1ffffffff,1.0,0.0,0.0
84a90a5ffffffff,4.0,0.0,0.0
84a90a7ffffffff,2.0,0.0,0.0
84a90b3ffffffff,4.0,0.0,0.0
84a90b9ffffffff,1.0,0.0,0.0
84a90bbffffffff,7.0,0.0,0.0
84a90c1ffffffff,10.0,0.0,0.0
84a90c3ffffffff,1.0,0.0,0.0
84a90c5ffffffff,16.0,0.0,0.0
84a90c7ffffffff,4.0,0.0,0.0
84a90c9ffffffff,11.0,0.0,0.0
84a90cbffffffff,4.0,0.0,0.0
84a90cdffffffff,22.0,0.0,0.0
84a90d1ffffffff,4.0,0.0,0.0
84a90d5ffffffff,2.0,0.0,0.0
84a90dbffffffff,18.0,0.0,0.0
84a90e1ffffffff,11.0,0.0,0.0
84a90e3ffffffff,6.0,0.0,0.0
84a90e5ffffffff,26.0,2.0,0.0
84a90e9ffffffff,118.0,4.0,0.0
84a90ebffffffff,5.0,0.0,0.0
84a90edffffffff,4.0,0.0,0.0
84a9181ffffffff,46.0,0.0,0.0
84a9183ffffffff,1.0,0.0,0.0
84a9187ffffffff,5.0,0.0,0.0
84a918bffffffff,12.0,0.0,0.0
84a9191ffffffff,34.0,0.0,0.0
84a9195ffffffff,2.0,0.0,0.0
84a9197ffffffff,2.0,0.0,0.0
84a919bffffffff,11.0,0.0,0.0
