cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
848b201ffffffff,4.0,0.0,0.0
848b203ffffffff,77.0,0.0,0.0
848b205ffffffff,8.0,0.0,0.0
848b20bffffffff,1.0,0.0,0.0
848b20dffffffff,1.0,0.0,0.0
848b211ffffffff,8.0,0.0,0.0
848b213ffffffff,1.0,0.0,0.0
848b21dffffffff,13.0,0.0,0.0
848b241ffffffff,3.0,0.0,0.0
848b259ffffffff,10.0,0.0,0.0
848b25dffffffff,1.0,0.0,0.0
848b2c9ffffffff,114.0,0.0,0.0
848b2cdffffffff,20.0,0.0,0.0
848b2d9ffffffff,8.0,0.0,0.0
848b2dbffffffff,2.0,0.0,0.0
848b2ddffffffff,2.0,0.0,0.0
84a865bffffffff,15.0,0.0,0.0
84a86c3ffffffff,2.0,0.0,0.0
84a86d3ffffffff,1.0,0.0,0.0
84a94d1ffffffff,2.0,0.0,0.0
84a969bffffffff,2.0,0.0,0.0
84a96a7ffffffff,5.0,0.0,0.0
84b2401ffffffff,6.0,0.0,0.0
84b2405ffffffff,1.0,0.0,0.0
84b2407ffffffff,4.0,0.0,0.0
84b2409ffffffff,1.0,0.0,0.0
84b240bffffffff,5.0,0.0,0.0
84b2411ffffffff,1.0,0.0,0.0
84b2413ffffffff,290.0,0.0,0.0
84b2415ffffffff,2.0,0.0,0.0
84b2419ffffffff,15.0,0.0,0.0
84b241dffffffff,5.0,0.0,0.0
84b2423ffffffff,6.0,0.0,0.0
84b242bffffffff,37.0,0.0,0.0
84b2431ffffffff,3.0,0.0,0.0
84b2435ffffffff,116.0,0.0,0.0
84b2439ffffffff,2.0,0.0,0.0
84b243dffffffff,64.0,0.0,0.0
84b2441ffffffff,1.0,0.0,0.0
84b244dffffffff,1.0,0.0,0.0
84b2453ffffffff,24.0,0.0,0.0
84b2457ffffffff,9.0,0.0,0.0
84b2463ffffffff,3.0,0.0,0.0
84b24c5ffffffff,13.0,0.0,0.0
84b24cdffffffff,85.0,0.0,0.0
84b24e5ffffffff,35.0,0.0,0.0
84b24ebffffffff,1.0,0.0,0.0
84b24edffffffff,4.0,0.0,0.0
84b251bffffffff,2.0,0.0,0.0
84b2557ffffffff,4.0,0.0,0.0
