cell_id,Loriotus luctuosus,Loriotus luctuosus nitidissimus,Loriotus luctuosus [luctuosus Group]
835f58fffffffff,2.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0
83661bfffffffff,4.0,0.0,0.0
83661cfffffffff,15.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0
836621fffffffff,5.0,0.0,0.0
8366a5fffffffff,3.0,0.0,0.0
8366b0fffffffff,4.0,0.0,0.0
8366b4fffffffff,1.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0
8366d3fffffffff,3.0,0.0,0.0
8366d5fffffffff,7.0,0.0,0.0
8366f0fffffffff,10.0,0.0,0.0
8366f1fffffffff,4.0,0.0,0.0
8366f5fffffffff,1.0,0.0,0.0
836743fffffffff,2.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0
836d69fffffffff,4.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0
838b76fffffffff,1.0,0.0,0.0
