cell_id,Phoenicurus phoenicurus,Phoenicurus phoenicurus phoenicurus,Phoenicurus phoenicurus samamisicus
8407411ffffffff,3.0,0.0,0.0
8407433ffffffff,2.0,0.0,0.0
84074edffffffff,2.0,0.0,0.0
8407621ffffffff,2.0,0.0,0.0
8407623ffffffff,5.0,0.0,0.0
8407635ffffffff,2.0,0.0,0.0
8408129ffffffff,1.0,1.0,0.0
8408985ffffffff,1.0,0.0,0.0
8408a45ffffffff,2.0,2.0,0.0
8408b67ffffffff,2.0,2.0,0.0
8409a09ffffffff,4.0,2.0,0.0
8409a45ffffffff,1.0,1.0,0.0
8409a47ffffffff,1.0,1.0,0.0
8409a55ffffffff,2.0,2.0,0.0
8409a6bffffffff,4.0,4.0,0.0
840bb03ffffffff,1.0,1.0,0.0
8410c23ffffffff,2.0,0.0,0.0
8411235ffffffff,2.0,0.0,0.0
8411ae3ffffffff,5.0,5.0,0.0
841828bffffffff,6.0,0.0,0.0
84182c1ffffffff,1.0,0.0,0.0
84182c3ffffffff,1.0,0.0,0.0
8418495ffffffff,17.0,0.0,0.0
8418593ffffffff,1.0,0.0,0.0
84185b5ffffffff,5.0,0.0,0.0
841873bffffffff,2.0,0.0,0.0
8419267ffffffff,1.0,0.0,0.0
8419415ffffffff,4.0,2.0,0.0
841941bffffffff,2.0,0.0,0.0
841948dffffffff,2.0,0.0,2.0
84194a1ffffffff,1.0,0.0,0.0
84194c5ffffffff,14.0,8.0,0.0
84194ebffffffff,2.0,0.0,0.0
8419581ffffffff,12.0,0.0,0.0
8419591ffffffff,10.0,0.0,0.0
8419729ffffffff,2.0,0.0,0.0
841972bffffffff,1.0,0.0,0.0
841e029ffffffff,1.0,0.0,0.0
841e055ffffffff,2.0,0.0,0.0
841e067ffffffff,1.0,0.0,0.0
841e125ffffffff,1.0,0.0,0.0
841e153ffffffff,1.0,0.0,0.0
841e1b3ffffffff,2.0,0.0,0.0
841e63bffffffff,2.0,0.0,0.0
841e805ffffffff,1.0,0.0,0.0
841e815ffffffff,2.0,2.0,0.0
841e835ffffffff,1.0,0.0,0.0
841ea53ffffffff,2.0,0.0,0.0
841eb0bffffffff,1.0,0.0,0.0
841eb59ffffffff,2.0,0.0,0.0
841ec03ffffffff,1.0,0.0,0.0
841ec27ffffffff,2.0,0.0,0.0
841ec47ffffffff,2.0,0.0,0.0
841ec9bffffffff,2.0,0.0,0.0
841eca1ffffffff,4.0,0.0,0.0
841eca5ffffffff,2.0,0.0,0.0
841ecb9ffffffff,2.0,0.0,0.0
841ece5ffffffff,7.0,7.0,0.0
841ece7ffffffff,2.0,0.0,0.0
841ece9ffffffff,1.0,0.0,0.0
841ed29ffffffff,2.0,0.0,0.0
841ed33ffffffff,2.0,0.0,0.0
841ed91ffffffff,2.0,2.0,0.0
841ed9bffffffff,1.0,1.0,0.0
