cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
82309ffffffffff,5.0,0.0,0.0,0.0
823c07fffffffff,47.0,0.0,0.0,0.0
823c0ffffffffff,5.0,0.0,0.0,0.0
823c17fffffffff,4.0,0.0,0.0,0.0
823c1ffffffffff,39.0,0.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0,0.0
823c57fffffffff,22.0,0.0,0.0,0.0
823c5ffffffffff,50.0,0.0,0.0,0.0
823cb7fffffffff,3.0,0.0,0.0,0.0
823cc7fffffffff,23.0,0.0,0.0,0.0
823cdffffffffff,6.0,0.0,0.0,0.0
823ce7fffffffff,45.0,0.0,0.0,0.0
823d17fffffffff,59.0,0.0,0.0,0.0
823d1ffffffffff,30.0,0.0,0.0,0.0
823d37fffffffff,2.0,0.0,0.0,0.0
823daffffffffff,505.0,0.0,0.0,0.0
824047fffffffff,4.0,0.0,0.0,0.0
82404ffffffffff,31.0,0.0,0.0,0.0
824067fffffffff,13.0,0.0,0.0,0.0
82406ffffffffff,8.0,0.0,0.0,0.0
82411ffffffffff,51.0,6.0,0.0,0.0
824147fffffffff,23.0,0.0,0.0,0.0
82415ffffffffff,4.0,0.0,0.0,0.0
824177fffffffff,65.0,0.0,0.0,0.0
824187fffffffff,1.0,0.0,0.0,0.0
824197fffffffff,17.0,1.0,0.0,0.0
8242dffffffffff,6.0,0.0,0.0,0.0
826007fffffffff,35.0,0.0,0.0,0.0
826017fffffffff,266.0,0.0,0.0,0.0
82601ffffffffff,191.0,0.0,0.0,0.0
826037fffffffff,236.0,0.0,0.0,0.0
82608ffffffffff,112.0,0.0,0.0,0.0
82609ffffffffff,174.0,0.0,0.0,0.0
8260affffffffff,160.0,0.0,0.0,0.0
826107fffffffff,102.0,9.0,0.0,0.0
826117fffffffff,23.0,2.0,0.0,0.0
82611ffffffffff,21.0,1.0,0.0,0.0
826417fffffffff,24.0,0.0,0.0,0.0
826437fffffffff,85.0,18.0,0.0,0.0
826487fffffffff,30.0,6.0,0.0,0.0
826497fffffffff,30.0,11.0,0.0,0.0
82649ffffffffff,2.0,0.0,0.0,0.0
8264a7fffffffff,12.0,1.0,0.0,0.0
8264b7fffffffff,3.0,0.0,0.0,0.0
826507fffffffff,144.0,2.0,0.0,0.0
82650ffffffffff,2.0,0.0,0.0,0.0
82651ffffffffff,13.0,0.0,0.0,0.0
826527fffffffff,6.0,0.0,0.0,0.0
826557fffffffff,3.0,0.0,0.0,0.0
826587fffffffff,12.0,0.0,0.0,0.0
82658ffffffffff,5.0,0.0,0.0,0.0
826597fffffffff,114.0,0.0,0.0,0.0
82659ffffffffff,39.0,9.0,0.0,0.0
8265b7fffffffff,6.0,0.0,0.0,0.0
826817fffffffff,58.0,0.0,0.0,2.0
82681ffffffffff,310.0,0.0,0.0,10.0
82688ffffffffff,1.0,0.0,0.0,1.0
826897fffffffff,5.0,0.0,0.0,5.0
8268a7fffffffff,3.0,0.0,0.0,0.0
8268affffffffff,1.0,0.0,0.0,1.0
826937fffffffff,7.0,0.0,0.0,0.0
828caffffffffff,3.0,0.0,0.0,0.0
828da7fffffffff,2.0,0.0,0.0,0.0
