cell_id,Zosterops citrinella,Zosterops citrinella unicus,Zosterops citrinella [citrinella Group]
8494049ffffffff,39.0,0.0,0.0
849404bffffffff,3.0,0.0,0.0
849404dffffffff,38.0,0.0,0.0
8494213ffffffff,2.0,0.0,0.0
8494219ffffffff,3.0,0.0,0.0
849421bffffffff,27.0,0.0,0.0
8494227ffffffff,1.0,0.0,0.0
8494231ffffffff,13.0,0.0,0.0
8494235ffffffff,41.0,0.0,0.0
8494237ffffffff,22.0,0.0,0.0
849423bffffffff,1.0,0.0,0.0
849426dffffffff,1.0,0.0,0.0
8494289ffffffff,1.0,0.0,0.0
84942c1ffffffff,78.0,0.0,0.0
84942c3ffffffff,1.0,0.0,0.0
84942c5ffffffff,12.0,0.0,0.0
84942c9ffffffff,7.0,0.0,0.0
84942d3ffffffff,81.0,0.0,0.0
84942d5ffffffff,14.0,0.0,0.0
84942ddffffffff,1.0,0.0,0.0
84942e9ffffffff,2.0,0.0,0.0
8494311ffffffff,6.0,0.0,0.0
8494313ffffffff,19.0,0.0,0.0
8494601ffffffff,94.0,0.0,0.0
849466dffffffff,31.0,0.0,0.0
8495185ffffffff,120.0,0.0,0.0
84951a7ffffffff,25.0,0.0,0.0
84951a9ffffffff,1.0,0.0,0.0
84951abffffffff,17.0,0.0,0.0
84951bdffffffff,5.0,0.0,0.0
84951e3ffffffff,16.0,0.0,0.0
84951e5ffffffff,5.0,0.0,0.0
84951e7ffffffff,1.0,0.0,0.0
8495431ffffffff,1.0,0.0,0.0
8495525ffffffff,5.0,0.0,0.0
8495527ffffffff,3.0,0.0,0.0
8495531ffffffff,2.0,0.0,0.0
8495533ffffffff,39.0,0.0,0.0
8495537ffffffff,12.0,0.0,0.0
8495583ffffffff,14.0,0.0,0.0
84955a1ffffffff,14.0,0.0,0.0
84955a3ffffffff,1.0,0.0,0.0
8495a99ffffffff,82.0,0.0,0.0
8495a9bffffffff,9.0,0.0,0.0
8495ad7ffffffff,3.0,0.0,0.0
849c005ffffffff,1.0,0.0,0.0
849c195ffffffff,3.0,0.0,0.0
849cf0bffffffff,1.0,0.0,0.0
849cf19ffffffff,18.0,0.0,0.0
849cf53ffffffff,7.0,0.0,0.0
