cell_id,Willisornis poecilinotus,Willisornis poecilinotus poecilinotus,Willisornis poecilinotus lepidonota/duidae,Willisornis poecilinotus gutturalis,Willisornis poecilinotus griseiventris
825f07fffffffff,57.0,0.0,0.0,0.0,0.0
825f17fffffffff,36.0,0.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0,0.0,0.0
825f2ffffffffff,107.0,0.0,0.0,0.0,0.0
825f47fffffffff,1.0,0.0,0.0,0.0,0.0
825f57fffffffff,4.0,0.0,0.0,0.0,0.0
825f6ffffffffff,9.0,0.0,0.0,0.0,0.0
825f77fffffffff,34.0,0.0,0.0,0.0,0.0
826647fffffffff,128.0,0.0,0.0,0.0,0.0
82664ffffffffff,12.0,0.0,0.0,0.0,0.0
82665ffffffffff,161.0,0.0,0.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0,0.0,0.0
82666ffffffffff,18.0,0.0,0.0,0.0,0.0
8266c7fffffffff,59.0,0.0,0.0,0.0,0.0
8266cffffffffff,23.0,0.0,0.0,0.0,0.0
8266d7fffffffff,274.0,0.0,1.0,0.0,0.0
8266dffffffffff,761.0,0.0,86.0,0.0,0.0
8266e7fffffffff,3.0,0.0,0.0,0.0,0.0
8266effffffffff,43.0,0.0,0.0,0.0,0.0
82804ffffffffff,2.0,0.0,0.0,0.0,0.0
828a07fffffffff,89.0,0.0,0.0,0.0,0.0
828a17fffffffff,44.0,0.0,0.0,0.0,0.0
828a1ffffffffff,23.0,0.0,0.0,0.0,0.0
828a27fffffffff,14.0,0.0,0.0,0.0,0.0
828a2ffffffffff,4.0,0.0,0.0,0.0,0.0
828a37fffffffff,25.0,0.0,0.0,0.0,0.0
828a47fffffffff,73.0,0.0,0.0,0.0,0.0
828a4ffffffffff,4.0,0.0,0.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,0.0,0.0
828a6ffffffffff,192.0,0.0,0.0,0.0,0.0
828a77fffffffff,22.0,0.0,0.0,0.0,0.0
828a87fffffffff,8.0,0.0,0.0,0.0,0.0
828aaffffffffff,41.0,0.0,0.0,0.0,0.0
828adffffffffff,10.0,2.0,0.0,0.0,0.0
828ae7fffffffff,4.0,0.0,0.0,0.0,0.0
828af7fffffffff,407.0,0.0,0.0,0.0,0.0
828b07fffffffff,2.0,0.0,0.0,0.0,0.0
828b0ffffffffff,8.0,0.0,0.0,0.0,0.0
828b17fffffffff,2.0,0.0,0.0,0.0,0.0
828b1ffffffffff,3.0,0.0,0.0,0.0,0.0
828b47fffffffff,348.0,0.0,0.0,0.0,4.0
828b4ffffffffff,6.0,0.0,0.0,0.0,0.0
828b57fffffffff,9.0,0.0,0.0,0.0,0.0
828b67fffffffff,46.0,0.0,0.0,0.0,2.0
828b6ffffffffff,32.0,0.0,0.0,0.0,0.0
828b77fffffffff,47.0,0.0,0.0,0.0,0.0
828b87fffffffff,20.0,0.0,0.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0,0.0,0.0
828b9ffffffffff,8.0,0.0,0.0,0.0,0.0
828ba7fffffffff,7.0,0.0,0.0,0.0,0.0
828baffffffffff,4.0,0.0,0.0,0.0,0.0
828e67fffffffff,3.0,0.0,0.0,0.0,0.0
828f47fffffffff,95.0,0.0,0.0,0.0,0.0
828f4ffffffffff,38.0,0.0,0.0,0.0,0.0
828f5ffffffffff,8.0,0.0,0.0,0.0,0.0
828f67fffffffff,129.0,0.0,0.0,0.0,0.0
828f6ffffffffff,14.0,0.0,0.0,0.0,0.0
828f77fffffffff,70.0,0.0,4.0,0.0,0.0
82a8cffffffffff,9.0,0.0,0.0,0.0,0.0
