cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
834805fffffffff,1.0,0.0,0.0
834830fffffffff,1.0,0.0,0.0
834834fffffffff,5.0,0.0,0.0
8349a9fffffffff,3.0,0.0,0.0
8349acfffffffff,4.0,0.0,0.0
836613fffffffff,2.0,0.0,2.0
836684fffffffff,6.0,0.0,0.0
836685fffffffff,4.0,0.0,4.0
83668efffffffff,5.0,0.0,0.0
836699fffffffff,4.0,0.0,0.0
83669cfffffffff,7.0,0.0,0.0
8366a2fffffffff,6.0,0.0,0.0
8366a3fffffffff,72.0,1.0,58.0
8366a5fffffffff,1.0,0.0,0.0
8366acfffffffff,9.0,0.0,9.0
8366aefffffffff,29.0,0.0,13.0
8366b0fffffffff,6.0,0.0,0.0
8366b1fffffffff,6.0,0.0,3.0
8366b6fffffffff,6.0,0.0,0.0
8366f2fffffffff,1.0,0.0,0.0
836c59fffffffff,12.0,0.0,3.0
836c5afffffffff,10.0,6.0,0.0
836c5bfffffffff,15.0,0.0,0.0
836c5dfffffffff,1.0,0.0,0.0
836c61fffffffff,6.0,0.0,0.0
836c65fffffffff,3.0,0.0,0.0
836d0cfffffffff,4.0,0.0,0.0
836d0dfffffffff,3.0,0.0,0.0
836d15fffffffff,57.0,1.0,3.0
836d2bfffffffff,12.0,0.0,0.0
836d49fffffffff,4.0,0.0,0.0
836d4bfffffffff,3.0,0.0,0.0
836d69fffffffff,10.0,0.0,0.0
836d6bfffffffff,11.0,0.0,0.0
836d70fffffffff,4.0,0.0,0.0
836d74fffffffff,17.0,0.0,0.0
836d76fffffffff,120.0,0.0,0.0
838f2afffffffff,5.0,0.0,0.0
838fa6fffffffff,3.0,0.0,0.0
