cell_id,Buteo augur,Buteo augur augur,Buteo augur archeri
845280dffffffff,20.0,20.0,0.0
8452811ffffffff,2.0,2.0,0.0
845281dffffffff,2.0,2.0,0.0
8452831ffffffff,17.0,17.0,0.0
8452851ffffffff,2.0,2.0,0.0
8452857ffffffff,1.0,1.0,0.0
845285dffffffff,2.0,2.0,0.0
8452863ffffffff,7.0,7.0,0.0
8452915ffffffff,3.0,3.0,0.0
8452983ffffffff,1.0,1.0,0.0
8452991ffffffff,4.0,4.0,0.0
8452997ffffffff,63.0,63.0,0.0
84529a3ffffffff,3.0,3.0,0.0
84529abffffffff,2.0,2.0,0.0
84529b1ffffffff,24.0,23.0,0.0
84529b3ffffffff,21.0,17.0,0.0
84529b5ffffffff,119.0,113.0,0.0
84529b7ffffffff,36.0,31.0,0.0
84529b9ffffffff,100.0,86.0,0.0
84529bbffffffff,19.0,18.0,0.0
84529bdffffffff,4.0,3.0,0.0
84529dbffffffff,2.0,2.0,0.0
84529e3ffffffff,1.0,1.0,0.0
846a485ffffffff,1.0,1.0,0.0
846a495ffffffff,2.0,0.0,0.0
846a49bffffffff,1.0,1.0,0.0
846a4a3ffffffff,1.0,0.0,0.0
846a5a3ffffffff,2.0,2.0,0.0
846a5a9ffffffff,10.0,10.0,0.0
846a5abffffffff,9.0,7.0,0.0
846a5adffffffff,1.0,0.0,0.0
846a693ffffffff,2.0,2.0,0.0
846a6d9ffffffff,2.0,2.0,0.0
846ac03ffffffff,3.0,0.0,0.0
846ac0bffffffff,2.0,2.0,0.0
846ac15ffffffff,1.0,0.0,0.0
846ac19ffffffff,2.0,2.0,0.0
846ac2bffffffff,2.0,2.0,0.0
846ac31ffffffff,33.0,30.0,0.0
846ac33ffffffff,26.0,22.0,0.0
846ac35ffffffff,4.0,2.0,0.0
846ac37ffffffff,26.0,26.0,0.0
846ac39ffffffff,2.0,2.0,0.0
846ac3dffffffff,28.0,22.0,0.0
846ac89ffffffff,3.0,3.0,0.0
846ac93ffffffff,35.0,35.0,0.0
846ace1ffffffff,2.0,2.0,0.0
846ace5ffffffff,43.0,35.0,0.0
846acebffffffff,1.0,1.0,0.0
846ad81ffffffff,45.0,33.0,0.0
846ad83ffffffff,2.0,2.0,0.0
846ad85ffffffff,4.0,4.0,0.0
846ad89ffffffff,25.0,21.0,0.0
846ad8bffffffff,27.0,24.0,0.0
846ad8dffffffff,24.0,13.0,0.0
846ada9ffffffff,47.0,15.0,0.0
846adc1ffffffff,566.0,520.0,0.0
846adc3ffffffff,72.0,62.0,0.0
846adc5ffffffff,6.0,5.0,0.0
846adc7ffffffff,169.0,149.0,0.0
846adc9ffffffff,61.0,51.0,0.0
846adcbffffffff,24.0,20.0,0.0
846add5ffffffff,3.0,3.0,0.0
846add7ffffffff,12.0,11.0,0.0
846add9ffffffff,44.0,39.0,0.0
846adddffffffff,21.0,18.0,0.0
846ade3ffffffff,6.0,5.0,0.0
846ade7ffffffff,24.0,19.0,0.0
846ade9ffffffff,2.0,2.0,0.0
846adebffffffff,36.0,32.0,0.0
846aea1ffffffff,3.0,3.0,0.0
846aee1ffffffff,2.0,2.0,0.0
846aee3ffffffff,2.0,2.0,0.0
846aee5ffffffff,2.0,2.0,0.0
847a401ffffffff,33.0,32.0,0.0
847a403ffffffff,18.0,16.0,0.0
847a405ffffffff,10.0,8.0,0.0
847a407ffffffff,50.0,49.0,0.0
847a409ffffffff,1.0,1.0,0.0
847a40bffffffff,96.0,72.0,0.0
847a40dffffffff,2.0,2.0,0.0
847a413ffffffff,21.0,17.0,0.0
847a415ffffffff,6.0,0.0,0.0
847a419ffffffff,5.0,5.0,0.0
847a41bffffffff,11.0,11.0,0.0
847a41dffffffff,50.0,50.0,0.0
847a43bffffffff,2.0,2.0,0.0
847a443ffffffff,1.0,0.0,0.0
847a451ffffffff,27.0,27.0,0.0
847a453ffffffff,128.0,111.0,0.0
847a455ffffffff,33.0,32.0,0.0
