cell_id,Ramphastos ambiguus,Ramphastos ambiguus swainsonii,Ramphastos ambiguus ambiguus/abbreviatus
84660a7ffffffff,2.0,2.0,0.0
84660e7ffffffff,3.0,3.0,0.0
846610bffffffff,2.0,2.0,0.0
8466113ffffffff,5.0,5.0,0.0
846619bffffffff,2.0,2.0,0.0
84661c3ffffffff,3.0,0.0,0.0
84661cdffffffff,9.0,9.0,0.0
84661ddffffffff,3.0,0.0,0.0
8466293ffffffff,4.0,0.0,0.0
84662d3ffffffff,1.0,0.0,0.0
84662e9ffffffff,3.0,0.0,0.0
8466a01ffffffff,5.0,0.0,0.0
8466a05ffffffff,25.0,5.0,0.0
8466a0bffffffff,3.0,0.0,0.0
8466a1dffffffff,5.0,0.0,0.0
8466a25ffffffff,3.0,0.0,0.0
8466a51ffffffff,12.0,7.0,0.0
8466a57ffffffff,3.0,0.0,0.0
8466b01ffffffff,27.0,27.0,0.0
8466b09ffffffff,131.0,131.0,0.0
8466b0bffffffff,407.0,405.0,0.0
8466b1dffffffff,1.0,1.0,0.0
8466b41ffffffff,32.0,32.0,0.0
8466b43ffffffff,3.0,3.0,0.0
8466b45ffffffff,34.0,34.0,0.0
8466b47ffffffff,177.0,174.0,0.0
8466b49ffffffff,11.0,11.0,0.0
8466b4bffffffff,8.0,8.0,0.0
8466b4dffffffff,5.0,5.0,0.0
8466b51ffffffff,28.0,25.0,0.0
8466b55ffffffff,204.0,200.0,0.0
8466b57ffffffff,7.0,2.0,0.0
8466b5dffffffff,4.0,0.0,0.0
8466b69ffffffff,13.0,11.0,0.0
8466c21ffffffff,28.0,0.0,2.0
8466c63ffffffff,1.0,0.0,0.0
8466d31ffffffff,5.0,4.0,0.0
8466d35ffffffff,6.0,4.0,0.0
8466d3dffffffff,3.0,0.0,0.0
8466de1ffffffff,7.0,0.0,3.0
8466de7ffffffff,2.0,0.0,0.0
8466debffffffff,2.0,0.0,0.0
8466f03ffffffff,10.0,5.0,4.0
8466f0bffffffff,3.0,1.0,0.0
8467961ffffffff,8.0,0.0,0.0
84679a1ffffffff,86.0,82.0,0.0
84679a5ffffffff,828.0,816.0,0.0
84679a7ffffffff,16.0,16.0,0.0
84679adffffffff,2.0,2.0,0.0
84679b5ffffffff,8.0,8.0,0.0
84679b7ffffffff,53.0,52.0,0.0
846d617ffffffff,2.0,0.0,0.0
846d681ffffffff,23.0,23.0,0.0
846d683ffffffff,3.0,2.0,0.0
846d685ffffffff,1.0,1.0,0.0
846d68bffffffff,69.0,69.0,0.0
846d68dffffffff,1.0,1.0,0.0
846d691ffffffff,19.0,15.0,0.0
846d693ffffffff,18.0,18.0,0.0
846d695ffffffff,1.0,0.0,0.0
846d697ffffffff,385.0,379.0,0.0
846d699ffffffff,75.0,75.0,0.0
846d69bffffffff,251.0,251.0,0.0
846d69dffffffff,346.0,336.0,0.0
846d6d1ffffffff,1.0,1.0,0.0
846d6d3ffffffff,40.0,36.0,0.0
846d6d7ffffffff,2.0,2.0,0.0
848f0d1ffffffff,9.0,2.0,0.0
848f0dbffffffff,1.0,1.0,0.0
