cell_id,Driophlox fuscicauda,Driophlox fuscicauda [salvini Group],Driophlox fuscicauda [fuscicauda Group]
824507fffffffff,483.0,12.0,0.0
82450ffffffffff,4520.0,440.0,0.0
82451ffffffffff,2.0,0.0,0.0
824527fffffffff,4771.0,90.0,0.0
82452ffffffffff,16407.0,858.0,0.0
824537fffffffff,945.0,0.0,0.0
824577fffffffff,23.0,0.0,0.0
824997fffffffff,784.0,318.0,0.0
82499ffffffffff,158.0,0.0,0.0
826607fffffffff,3.0,0.0,0.0
826617fffffffff,71.0,0.0,6.0
826627fffffffff,5.0,0.0,0.0
826637fffffffff,160.0,0.0,0.0
8266a7fffffffff,6265.0,0.0,886.0
8266b7fffffffff,3130.0,0.0,0.0
826797fffffffff,339.0,0.0,0.0
82679ffffffffff,1642.0,0.0,13.0
8267b7fffffffff,6.0,0.0,0.0
826d07fffffffff,66.0,13.0,0.0
826d27fffffffff,1174.0,209.0,0.0
826d2ffffffffff,1361.0,279.0,0.0
826d37fffffffff,1041.0,133.0,0.0
826d67fffffffff,792.0,0.0,0.0
826d6ffffffffff,7376.0,0.0,0.0
826d77fffffffff,95.0,0.0,0.0
