cell_id,Hellmayrea gularis,Hellmayrea gularis gularis,Hellmayrea gularis brunneidorsalis,Hellmayrea gularis cinereiventris,Hellmayrea gularis rufiventris
836608fffffffff,3.0,0.0,0.0,0.0,0.0
83660bfffffffff,5.0,0.0,0.0,0.0,0.0
83660cfffffffff,12.0,0.0,0.0,0.0,0.0
83660dfffffffff,4.0,0.0,0.0,0.0,0.0
836618fffffffff,35.0,0.0,0.0,0.0,0.0
836619fffffffff,4.0,0.0,0.0,0.0,0.0
83661bfffffffff,94.0,0.0,0.0,0.0,0.0
83661dfffffffff,4.0,0.0,0.0,0.0,0.0
836621fffffffff,66.0,0.0,0.0,0.0,0.0
836629fffffffff,18.0,0.0,0.0,1.0,0.0
83662bfffffffff,19.0,0.0,0.0,6.0,0.0
83662efffffffff,1.0,0.0,0.0,0.0,0.0
8366c2fffffffff,14.0,0.0,0.0,0.0,0.0
8366c4fffffffff,4.0,0.0,0.0,0.0,0.0
8366c6fffffffff,55.0,0.0,0.0,0.0,0.0
8366d1fffffffff,20.0,0.0,0.0,0.0,0.0
8366d3fffffffff,668.0,84.0,0.0,0.0,0.0
8366d5fffffffff,1.0,0.0,0.0,0.0,0.0
8366defffffffff,81.0,0.0,0.0,0.0,0.0
8366e0fffffffff,38.0,0.0,0.0,0.0,0.0
8366e2fffffffff,2.0,0.0,0.0,0.0,0.0
8366e4fffffffff,152.0,0.0,0.0,0.0,0.0
8366e5fffffffff,61.0,0.0,0.0,0.0,0.0
8366e6fffffffff,698.0,26.0,0.0,0.0,0.0
8366f1fffffffff,8.0,0.0,0.0,0.0,0.0
8366f3fffffffff,1.0,0.0,0.0,0.0,0.0
8366f5fffffffff,54.0,0.0,0.0,0.0,0.0
83675afffffffff,48.0,0.0,0.0,0.0,0.0
838f29fffffffff,9.0,0.0,0.0,0.0,0.0
838f2dfffffffff,5.0,0.0,0.0,0.0,0.0
838f46fffffffff,2.0,0.0,0.0,0.0,0.0
838f4afffffffff,4.0,0.0,0.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0,0.0,0.0
838f55fffffffff,4.0,0.0,0.0,0.0,0.0
838f59fffffffff,29.0,0.0,0.0,0.0,0.0
838f72fffffffff,91.0,0.0,0.0,0.0,0.0
838f73fffffffff,1.0,0.0,0.0,0.0,0.0
838f76fffffffff,88.0,0.0,0.0,0.0,0.0
