cell_id,Ortalis ruficauda,Ortalis ruficauda ruficrissa,Ortalis ruficauda ruficauda
835f5bfffffffff,24.0,0.0,1.0
836609fffffffff,2.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0
836623fffffffff,3.0,0.0,0.0
836656fffffffff,21.0,0.0,0.0
836672fffffffff,3.0,0.0,0.0
836741fffffffff,118.0,0.0,13.0
836742fffffffff,9.0,0.0,0.0
836743fffffffff,13.0,0.0,4.0
83674cfffffffff,47.0,0.0,0.0
83674efffffffff,1.0,0.0,0.0
836751fffffffff,14.0,0.0,2.0
836753fffffffff,4.0,0.0,1.0
836755fffffffff,2.0,0.0,0.0
83675cfffffffff,13.0,0.0,0.0
