cell_id,Bocagia minuta,Bocagia minuta minuta,Bocagia minuta anchietae/reichenowi
8454cc3ffffffff,1.0,0.0,0.0
845890dffffffff,1.0,0.0,0.0
8458957ffffffff,1.0,0.0,0.0
8458961ffffffff,4.0,0.0,0.0
8458969ffffffff,5.0,0.0,0.0
845896bffffffff,2.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458debffffffff,2.0,0.0,0.0
8458dedffffffff,1.0,0.0,0.0
84599b3ffffffff,1.0,0.0,0.0
846ac03ffffffff,3.0,0.0,0.0
846ac0bffffffff,1.0,0.0,0.0
846ac15ffffffff,36.0,0.0,0.0
846ac19ffffffff,1.0,0.0,0.0
846ac31ffffffff,26.0,0.0,0.0
846ac35ffffffff,14.0,0.0,0.0
846ac39ffffffff,5.0,0.0,0.0
846ac3dffffffff,101.0,0.0,0.0
846ac55ffffffff,1.0,0.0,0.0
846ac89ffffffff,34.0,0.0,0.0
846ac9bffffffff,4.0,0.0,0.0
846accbffffffff,5.0,0.0,0.0
846acd1ffffffff,5.0,0.0,0.0
846ace1ffffffff,1.0,0.0,0.0
846ad81ffffffff,1.0,0.0,0.0
846ad83ffffffff,1.0,0.0,0.0
846adc1ffffffff,3.0,0.0,0.0
846adc9ffffffff,1.0,0.0,0.0
846ae15ffffffff,1.0,0.0,0.0
846ae85ffffffff,7.0,0.0,0.0
846aea1ffffffff,92.0,0.0,0.0
846aea3ffffffff,2.0,0.0,0.0
846aea9ffffffff,5.0,0.0,0.0
846aeabffffffff,4.0,0.0,0.0
846aeb5ffffffff,3.0,0.0,0.0
846aee3ffffffff,26.0,0.0,0.0
846aeebffffffff,1.0,0.0,0.0
846b8abffffffff,1.0,0.0,0.0
8475085ffffffff,3.0,0.0,0.0
8475087ffffffff,1.0,0.0,0.0
84750c9ffffffff,2.0,0.0,0.0
84750d1ffffffff,55.0,9.0,0.0
84750d3ffffffff,58.0,6.0,0.0
84750dbffffffff,3.0,0.0,0.0
8475291ffffffff,1.0,0.0,0.0
8475295ffffffff,36.0,2.0,0.0
8475299ffffffff,2.0,0.0,0.0
847529bffffffff,1.0,0.0,0.0
84752abffffffff,8.0,0.0,0.0
84752adffffffff,3.0,0.0,0.0
84752d3ffffffff,3.0,1.0,0.0
84752e9ffffffff,2.0,0.0,0.0
847a483ffffffff,5.0,0.0,0.0
847a491ffffffff,2.0,0.0,0.0
847a4d1ffffffff,10.0,0.0,0.0
847a4d9ffffffff,4.0,0.0,0.0
847a4dbffffffff,3.0,0.0,0.0
847a4ddffffffff,2.0,0.0,0.0
847a6b7ffffffff,9.0,0.0,0.0
847b487ffffffff,1.0,0.0,0.0
8482125ffffffff,7.0,0.0,0.0
8483125ffffffff,11.0,0.0,0.0
848320dffffffff,3.0,0.0,0.0
8483331ffffffff,1.0,0.0,0.0
849600bffffffff,1.0,0.0,0.0
8496015ffffffff,2.0,0.0,0.0
849602dffffffff,12.0,0.0,12.0
849608dffffffff,1.0,0.0,1.0
8496097ffffffff,5.0,0.0,2.0
84960bbffffffff,4.0,0.0,1.0
849615dffffffff,3.0,0.0,3.0
84961abffffffff,6.0,0.0,2.0
8496349ffffffff,1.0,0.0,0.0
8496b1bffffffff,4.0,0.0,0.0
8497113ffffffff,5.0,0.0,1.0
84971c1ffffffff,29.0,0.0,9.0
8497895ffffffff,4.0,0.0,0.0
