cell_id,Bradornis microrhynchus,Bradornis microrhynchus pumilus,Bradornis microrhynchus [microrhynchus Group]
84529b5ffffffff,2.0,0.0,0.0
84529b9ffffffff,5.0,0.0,0.0
8452d33ffffffff,3.0,0.0,0.0
8452dc5ffffffff,2.0,0.0,0.0
846a49bffffffff,1.0,0.0,0.0
846a4bbffffffff,4.0,0.0,0.0
846a581ffffffff,15.0,0.0,0.0
846a587ffffffff,12.0,0.0,0.0
846a5a7ffffffff,3.0,0.0,0.0
846a5a9ffffffff,24.0,0.0,5.0
846a5abffffffff,25.0,0.0,0.0
846a5b3ffffffff,2.0,0.0,0.0
846a5bbffffffff,14.0,0.0,0.0
846a697ffffffff,2.0,1.0,0.0
846ac93ffffffff,1.0,0.0,0.0
847a401ffffffff,148.0,0.0,0.0
847a403ffffffff,35.0,0.0,0.0
847a405ffffffff,45.0,0.0,0.0
847a407ffffffff,187.0,0.0,0.0
847a40bffffffff,36.0,0.0,0.0
847a40dffffffff,2.0,0.0,0.0
847a413ffffffff,227.0,0.0,25.0
847a41bffffffff,32.0,0.0,0.0
847a41dffffffff,88.0,0.0,0.0
847a43bffffffff,3.0,0.0,0.0
847a453ffffffff,3.0,0.0,0.0
847a457ffffffff,12.0,0.0,0.0
847a459ffffffff,4.0,0.0,0.0
847a45dffffffff,8.0,0.0,0.0
847a46dffffffff,15.0,0.0,0.0
847a481ffffffff,20.0,0.0,0.0
847a483ffffffff,5.0,0.0,0.0
847a489ffffffff,5.0,0.0,0.0
847a49dffffffff,4.0,0.0,0.0
847a4b1ffffffff,14.0,0.0,0.0
847a4b5ffffffff,5.0,0.0,0.0
847a4b7ffffffff,3.0,0.0,0.0
847a4bdffffffff,1.0,0.0,0.0
847a4c1ffffffff,5.0,0.0,4.0
847a4c5ffffffff,5.0,0.0,0.0
847a4cdffffffff,14.0,0.0,2.0
847a4dbffffffff,1.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0
847a509ffffffff,4.0,0.0,0.0
847a537ffffffff,2.0,0.0,0.0
847a555ffffffff,2.0,0.0,0.0
847a593ffffffff,5.0,0.0,0.0
847a59bffffffff,13.0,0.0,0.0
847a5a5ffffffff,8.0,3.0,2.0
847a5adffffffff,4.0,0.0,3.0
847a601ffffffff,3.0,0.0,0.0
847a603ffffffff,2.0,0.0,0.0
847a609ffffffff,64.0,0.0,0.0
847a60bffffffff,22.0,0.0,0.0
847a611ffffffff,19.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0
847a615ffffffff,9.0,0.0,0.0
847a617ffffffff,7.0,0.0,0.0
847a619ffffffff,22.0,0.0,0.0
847a61bffffffff,10.0,0.0,0.0
847a61dffffffff,91.0,0.0,0.0
847a631ffffffff,3.0,0.0,0.0
847a633ffffffff,3.0,0.0,0.0
847a637ffffffff,4.0,0.0,0.0
847a63bffffffff,2.0,0.0,0.0
847a641ffffffff,38.0,0.0,0.0
847a643ffffffff,13.0,0.0,0.0
847a647ffffffff,9.0,0.0,0.0
847a651ffffffff,8.0,0.0,0.0
847a653ffffffff,22.0,0.0,0.0
847a655ffffffff,15.0,0.0,0.0
847a657ffffffff,53.0,0.0,0.0
847a659ffffffff,60.0,0.0,11.0
847a65bffffffff,28.0,0.0,0.0
847a65dffffffff,5.0,0.0,0.0
847a669ffffffff,3.0,0.0,0.0
847a681ffffffff,171.0,0.0,0.0
847a683ffffffff,164.0,0.0,0.0
847a685ffffffff,8.0,0.0,0.0
847a687ffffffff,4.0,0.0,0.0
847a689ffffffff,6.0,0.0,0.0
847a68bffffffff,59.0,0.0,0.0
847a697ffffffff,2.0,0.0,0.0
847a69dffffffff,1.0,0.0,0.0
847a6a1ffffffff,59.0,0.0,0.0
847a6a5ffffffff,19.0,0.0,0.0
847a6a7ffffffff,18.0,0.0,2.0
847a6a9ffffffff,2.0,0.0,0.0
847a6adffffffff,76.0,0.0,0.0
847a6c1ffffffff,4.0,0.0,2.0
847a6c3ffffffff,2.0,0.0,0.0
847a6c5ffffffff,2.0,0.0,0.0
847a6c7ffffffff,4.0,0.0,0.0
847a6c9ffffffff,1.0,0.0,1.0
847a6d1ffffffff,349.0,0.0,36.0
847a6d3ffffffff,22.0,0.0,4.0
847a6d5ffffffff,5.0,0.0,0.0
847a6d7ffffffff,3.0,0.0,0.0
847a6d9ffffffff,32.0,0.0,4.0
847a6dbffffffff,24.0,0.0,2.0
847a6ddffffffff,5.0,0.0,0.0
847a6e1ffffffff,61.0,0.0,0.0
847a6e5ffffffff,258.0,0.0,24.0
847a6e7ffffffff,30.0,0.0,0.0
847a6e9ffffffff,8.0,0.0,0.0
847a6ebffffffff,13.0,0.0,0.0
847a6edffffffff,45.0,0.0,7.0
847a739ffffffff,1.0,0.0,0.0
847a73bffffffff,4.0,0.0,0.0
847ac15ffffffff,2.0,2.0,0.0
847ac81ffffffff,35.0,15.0,0.0
847ac83ffffffff,5.0,1.0,0.0
847ac87ffffffff,2.0,1.0,0.0
847ac8bffffffff,48.0,5.0,0.0
847ac97ffffffff,3.0,1.0,0.0
847aca1ffffffff,1.0,0.0,0.0
847aca3ffffffff,13.0,2.0,0.0
847aca5ffffffff,3.0,0.0,0.0
847acabffffffff,4.0,0.0,0.0
847acb5ffffffff,2.0,0.0,0.0
847acc5ffffffff,7.0,2.0,0.0
847accdffffffff,7.0,0.0,0.0
847acd5ffffffff,19.0,0.0,3.0
847acd7ffffffff,3.0,0.0,0.0
847ace9ffffffff,1.0,0.0,0.0
847ad91ffffffff,13.0,1.0,3.0
847ad93ffffffff,2.0,0.0,0.0
847ad95ffffffff,10.0,1.0,0.0
847ad99ffffffff,121.0,19.0,0.0
847ad9dffffffff,1.0,1.0,0.0
847ae81ffffffff,15.0,6.0,3.0
847ae85ffffffff,27.0,14.0,3.0
847ae87ffffffff,5.0,0.0,0.0
847ae8bffffffff,9.0,0.0,0.0
847ae91ffffffff,16.0,3.0,0.0
847ae95ffffffff,4.0,0.0,0.0
847ae97ffffffff,1.0,0.0,1.0
847ae99ffffffff,47.0,16.0,0.0
847ae9bffffffff,45.0,12.0,2.0
