cell_id,Poicephalus gulielmi,Poicephalus gulielmi fantiensis,Poicephalus gulielmi gulielmi/massaicus
8358d2fffffffff,1.0,0.0,0.0
8358d3fffffffff,5.0,0.0,0.0
837508fffffffff,4.0,1.0,0.0
837509fffffffff,1.0,0.0,0.0
83750cfffffffff,5.0,0.0,0.0
83750dfffffffff,306.0,15.0,0.0
837523fffffffff,3.0,0.0,0.0
837529fffffffff,85.0,0.0,0.0
83752afffffffff,114.0,4.0,0.0
83752bfffffffff,98.0,6.0,0.0
83752efffffffff,4.0,0.0,0.0
8375a8fffffffff,3.0,0.0,0.0
8375aefffffffff,1.0,0.0,0.0
837a40fffffffff,9.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0
837a43fffffffff,4.0,0.0,0.0
837a45fffffffff,417.0,0.0,0.0
837a48fffffffff,5.0,0.0,0.0
837a68fffffffff,4.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0
837a6efffffffff,7.0,0.0,0.0
838233fffffffff,1.0,0.0,0.0
838289fffffffff,1.0,0.0,0.0
83828bfffffffff,2.0,0.0,0.0
838290fffffffff,2.0,0.0,0.0
8382a8fffffffff,1.0,0.0,0.0
8382d6fffffffff,1.0,0.0,0.0
8382f2fffffffff,1.0,0.0,0.0
838313fffffffff,8.0,0.0,0.0
8383a8fffffffff,6.0,0.0,0.0
8383acfffffffff,10.0,0.0,0.0
839690fffffffff,3.0,0.0,0.0
839692fffffffff,22.0,0.0,0.0
839693fffffffff,19.0,0.0,0.0
