cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
840882bffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8408837ffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840883dffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8408841ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408843ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8408845ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8408847ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
840884dffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408851ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8408859ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840885bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840885dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408861ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408863ffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8408865ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408867ffffffff,358.0,0.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0
8408881ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,42.0,0.0,0.0,2.0,0.0,0.0,0.0
840888bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,16.0,0.0,0.0,3.0,0.0,0.0,0.0
8408891ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408897ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408899ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a1ffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
84088a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84088a9ffffffff,8.0,0.0,0.0,1.0,0.0,0.0,0.0
84088adffffffff,24.0,0.0,0.0,2.0,0.0,0.0,0.0
84088b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84088b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84088d3ffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
84088e1ffffffff,21.0,0.0,0.0,21.0,0.0,0.0,0.0
84088e3ffffffff,3.0,0.0,0.0,2.0,0.0,0.0,0.0
84088e5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408901ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840890dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8408959ffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0
840895bffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8408961ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408965ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8408987ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840898bffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8408991ffffffff,37.0,0.0,0.0,10.0,0.0,0.0,0.0
8408995ffffffff,63.0,0.0,0.0,4.0,0.0,0.0,0.0
8408997ffffffff,263.0,0.0,0.0,62.0,0.0,0.0,0.0
8408999ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840899bffffffff,6.0,0.0,0.0,4.0,0.0,0.0,0.0
840899dffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
