cell_id,Cisticola eximius,Cisticola eximius winneba,Cisticola eximius eximius/occidens
825447fffffffff,2.0,0.0,0.0
82545ffffffffff,2.0,0.0,0.0
8254c7fffffffff,2.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0
8254f7fffffffff,9.0,0.0,0.0
82581ffffffffff,1.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258e7fffffffff,1.0,0.0,0.0
825997fffffffff,1.0,0.0,0.0
82599ffffffffff,43.0,0.0,0.0
826ae7fffffffff,4.0,0.0,0.0
82751ffffffffff,1.0,0.0,0.0
827527fffffffff,8.0,0.0,0.0
82752ffffffffff,6.0,0.0,0.0
827577fffffffff,7.0,0.0,0.0
8275a7fffffffff,1.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
827a6ffffffffff,62.0,0.0,0.0
828217fffffffff,1.0,0.0,0.0
828287fffffffff,5.0,0.0,0.0
