cell_id,Tropicoperdix chloropus,Tropicoperdix chloropus tonkinensis,Tropicoperdix chloropus [chloropus Group]
834061fffffffff,10.0,0.0,0.0
834065fffffffff,2.0,0.0,0.0
834143fffffffff,43.0,19.0,0.0
834148fffffffff,1.0,0.0,0.0
834160fffffffff,2.0,0.0,0.0
834165fffffffff,4.0,0.0,2.0
83416cfffffffff,5.0,0.0,0.0
83416efffffffff,8.0,3.0,0.0
836416fffffffff,735.0,0.0,197.0
836480fffffffff,2.0,0.0,0.0
836482fffffffff,86.0,0.0,31.0
836484fffffffff,2.0,0.0,0.0
836486fffffffff,5.0,0.0,0.0
836491fffffffff,4.0,0.0,2.0
836496fffffffff,2.0,0.0,0.0
8364a0fffffffff,3.0,0.0,0.0
8364a1fffffffff,4.0,0.0,0.0
8364a3fffffffff,10.0,0.0,1.0
8364a4fffffffff,4.0,0.0,2.0
8364b4fffffffff,2.0,0.0,2.0
8364b5fffffffff,31.0,0.0,7.0
836580fffffffff,26.0,0.0,0.0
836581fffffffff,4.0,0.0,0.0
836582fffffffff,1.0,0.0,0.0
836585fffffffff,19.0,0.0,0.0
836589fffffffff,8.0,0.0,0.0
83658afffffffff,26.0,0.0,4.0
83658efffffffff,9.0,0.0,0.0
836590fffffffff,2.0,0.0,0.0
836591fffffffff,29.0,0.0,0.0
836594fffffffff,2.0,0.0,0.0
836595fffffffff,7.0,0.0,0.0
836596fffffffff,6.0,0.0,0.0
836599fffffffff,405.0,0.0,86.0
83659cfffffffff,51.0,0.0,0.0
83659dfffffffff,1.0,0.0,0.0
83659efffffffff,2.0,0.0,0.0
8365b0fffffffff,314.0,0.0,73.0
8365b2fffffffff,25.0,0.0,0.0
8365b3fffffffff,74.0,0.0,0.0
8365b6fffffffff,2.0,0.0,0.0
