cell_id,Lagonosticta larvata,Lagonosticta larvata vinacea,Lagonosticta larvata nigricollis,Lagonosticta larvata larvata
835299fffffffff,1.0,0.0,0.0,0.0
83529bfffffffff,1.0,0.0,0.0,0.0
83545dfffffffff,1.0,0.0,0.0,0.0
8354e4fffffffff,17.0,5.0,0.0,0.0
8354e5fffffffff,12.0,5.0,0.0,0.0
835886fffffffff,1.0,0.0,0.0,0.0
8358a4fffffffff,2.0,0.0,0.0,0.0
8358a6fffffffff,9.0,0.0,0.0,0.0
8358b1fffffffff,2.0,0.0,0.0,0.0
8358b5fffffffff,1.0,0.0,0.0,0.0
8358cdfffffffff,7.0,0.0,0.0,0.0
8358e2fffffffff,2.0,0.0,0.0,0.0
83598bfffffffff,1.0,0.0,0.0,0.0
835998fffffffff,3.0,0.0,2.0,0.0
83599afffffffff,2.0,0.0,0.0,0.0
83599efffffffff,9.0,1.0,2.0,0.0
836a10fffffffff,10.0,0.0,0.0,0.0
836a14fffffffff,1.0,0.0,0.0,0.0
836a15fffffffff,1.0,0.0,0.0,0.0
836a45fffffffff,10.0,0.0,0.0,0.0
836a63fffffffff,1.0,0.0,0.0,0.0
836a69fffffffff,13.0,0.0,0.0,0.0
836a6efffffffff,1.0,0.0,0.0,0.0
836acefffffffff,6.0,0.0,0.0,0.0
836ae8fffffffff,2.0,0.0,0.0,0.0
836aeafffffffff,5.0,0.0,0.0,0.0
836aecfffffffff,1.0,0.0,0.0,0.0
836b8afffffffff,1.0,0.0,0.0,0.0
836b9efffffffff,1.0,0.0,0.0,0.0
836bb5fffffffff,1.0,0.0,0.0,0.0
837520fffffffff,137.0,17.0,9.0,0.0
837521fffffffff,2.0,2.0,0.0,0.0
837529fffffffff,1.0,0.0,0.0,0.0
83752afffffffff,1.0,0.0,0.0,0.0
83752bfffffffff,1.0,0.0,0.0,0.0
837531fffffffff,2.0,0.0,0.0,0.0
837532fffffffff,1.0,0.0,0.0,0.0
