cell_id,Thalassarche cauta,Thalassarche cauta cauta,Thalassarche cauta steadi
822837fffffffff,4.0,0.0,0.0
8228e7fffffffff,5.0,0.0,0.0
82ad37fffffffff,49.0,0.0,11.0
82b21ffffffffff,5.0,0.0,0.0
82b2c7fffffffff,41.0,3.0,0.0
82bb0ffffffffff,13.0,0.0,11.0
82bb1ffffffffff,1.0,0.0,0.0
82bb27fffffffff,1.0,0.0,1.0
82bb2ffffffffff,98.0,2.0,33.0
82bb57fffffffff,79.0,0.0,20.0
82bb5ffffffffff,4.0,0.0,2.0
82bb77fffffffff,3.0,0.0,0.0
82bc1ffffffffff,5.0,0.0,3.0
82bcf7fffffffff,1.0,0.0,0.0
82be0ffffffffff,54.0,5.0,24.0
82be1ffffffffff,5.0,0.0,1.0
82be2ffffffffff,41.0,2.0,13.0
82be67fffffffff,20.0,0.0,0.0
82be6ffffffffff,17.0,3.0,0.0
82be8ffffffffff,10.0,0.0,0.0
82beaffffffffff,6.0,0.0,0.0
82bf1ffffffffff,2.0,0.0,0.0
82bf27fffffffff,1.0,0.0,0.0
82bf2ffffffffff,7.0,0.0,0.0
82bf5ffffffffff,19.0,0.0,5.0
82bf77fffffffff,8.0,0.0,0.0
82c207fffffffff,9.0,0.0,0.0
82c217fffffffff,2.0,0.0,0.0
82c21ffffffffff,31.0,0.0,1.0
82c987fffffffff,2.0,0.0,0.0
82c99ffffffffff,8.0,0.0,0.0
82c9b7fffffffff,2.0,0.0,0.0
82cb1ffffffffff,2.0,0.0,0.0
82cb2ffffffffff,2.0,0.0,0.0
82cc47fffffffff,2.0,0.0,0.0
82cc57fffffffff,2.0,0.0,0.0
82cf17fffffffff,4.0,0.0,0.0
82d6dffffffffff,2.0,0.0,2.0
82d8b7fffffffff,2.0,0.0,0.0
82da0ffffffffff,6.0,0.0,1.0
82da1ffffffffff,1.0,0.0,0.0
82da87fffffffff,139.0,0.0,5.0
82da8ffffffffff,2.0,0.0,2.0
82da97fffffffff,32.0,0.0,0.0
82daa7fffffffff,1.0,0.0,1.0
82daaffffffffff,46.0,0.0,13.0
82dab7fffffffff,3.0,0.0,1.0
82db87fffffffff,1.0,0.0,1.0
82db8ffffffffff,2.0,0.0,2.0
82db9ffffffffff,2.0,0.0,2.0
82dcdffffffffff,3.0,0.0,1.0
82df5ffffffffff,2.0,0.0,0.0
