cell_id,Coracina personata,Coracina personata pollens,Coracina personata floris,Coracina personata sumbensis,Coracina personata personata,Coracina personata unimoda,Coracina personata alfrediana
837290fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
839404fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
839421fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,4.0
839422fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839423fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
839426fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839428fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83942cfffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0
83942dfffffffff,44.0,0.0,0.0,0.0,0.0,0.0,0.0
83942efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
839431fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
839460fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
839466fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
839512fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839518fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83951afffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
83951bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83951efffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0
839552fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839553fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
83955afffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8395a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8395a9fffffffff,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8395adfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
