cell_id,Lichenostomus melanops,Lichenostomus melanops melanops/meltoni,Lichenostomus melanops cassidix
839d2cfffffffff,23.0,3.0,0.0
83be08fffffffff,294.0,29.0,0.0
83be09fffffffff,4.0,1.0,0.0
83be0afffffffff,402.0,41.0,0.0
83be0bfffffffff,224.0,44.0,0.0
83be0cfffffffff,8.0,0.0,0.0
83be0dfffffffff,286.0,56.0,0.0
83be0efffffffff,66.0,0.0,0.0
83be1bfffffffff,13.0,0.0,0.0
83be1dfffffffff,10.0,0.0,0.0
83be29fffffffff,2.0,0.0,0.0
83be40fffffffff,530.0,145.0,0.0
83be41fffffffff,13.0,0.0,0.0
83be44fffffffff,310.0,119.0,0.0
83be45fffffffff,889.0,122.0,0.0
83be46fffffffff,55.0,20.0,0.0
83be54fffffffff,5.0,4.0,0.0
83be56fffffffff,28.0,2.0,0.0
83be62fffffffff,80.0,3.0,15.0
83be63fffffffff,220.0,43.0,0.0
83be6afffffffff,126.0,4.0,0.0
83be70fffffffff,15.0,0.0,0.0
83be71fffffffff,880.0,113.0,0.0
83be72fffffffff,25.0,0.0,0.0
83be73fffffffff,17.0,0.0,0.0
83be74fffffffff,98.0,7.0,0.0
83be75fffffffff,77.0,7.0,0.0
83be76fffffffff,15.0,0.0,0.0
83be88fffffffff,3.0,0.0,0.0
83be89fffffffff,26.0,0.0,0.0
83be8bfffffffff,27.0,0.0,0.0
83be8dfffffffff,76.0,0.0,0.0
83bed4fffffffff,9.0,1.0,0.0
83bedefffffffff,12.0,0.0,0.0
83bee0fffffffff,46.0,4.0,0.0
83bee2fffffffff,50.0,4.0,0.0
83bee4fffffffff,43.0,5.0,0.0
83bee5fffffffff,10.0,2.0,0.0
83bee6fffffffff,11.0,0.0,0.0
83bef0fffffffff,528.0,97.0,0.0
83bef1fffffffff,2.0,2.0,0.0
83bef2fffffffff,285.0,7.0,0.0
83bef4fffffffff,17.0,7.0,0.0
83bef5fffffffff,105.0,2.0,0.0
83bef6fffffffff,39.0,6.0,0.0
