cell_id,Alcedo atthis,Alcedo atthis [atthis Group],Alcedo atthis [hispidoides Group]
840880dffffffff,21.0,0.0,0.0
8408863ffffffff,5.0,0.0,0.0
8408865ffffffff,2.0,0.0,0.0
8408869ffffffff,11.0,0.0,0.0
840886bffffffff,4.0,0.0,0.0
8408959ffffffff,2.0,0.0,0.0
840895bffffffff,2.0,0.0,0.0
8408985ffffffff,4.0,0.0,0.0
8408997ffffffff,2.0,0.0,0.0
84089a9ffffffff,7.0,0.0,0.0
84089b7ffffffff,2.0,0.0,0.0
84089bdffffffff,2.0,0.0,0.0
8408b11ffffffff,8.0,0.0,0.0
8408b15ffffffff,1.0,0.0,0.0
8408b37ffffffff,4.0,0.0,0.0
8409991ffffffff,3.0,0.0,0.0
8409993ffffffff,2.0,0.0,0.0
8409997ffffffff,2.0,0.0,0.0
840bb07ffffffff,1.0,0.0,0.0
8410897ffffffff,2.0,0.0,0.0
8410acbffffffff,2.0,0.0,0.0
8410dc9ffffffff,2.0,0.0,0.0
8410f29ffffffff,2.0,0.0,0.0
8410f2bffffffff,4.0,0.0,0.0
8411061ffffffff,11.0,0.0,0.0
8411065ffffffff,2.0,0.0,0.0
8411069ffffffff,3.0,0.0,0.0
8411249ffffffff,1.0,0.0,0.0
8411309ffffffff,2.0,0.0,0.0
8411345ffffffff,4.0,0.0,0.0
8411349ffffffff,2.0,0.0,0.0
8411367ffffffff,2.0,0.0,0.0
841136bffffffff,5.0,0.0,0.0
8411813ffffffff,2.0,0.0,0.0
84118adffffffff,21.0,0.0,0.0
84118cdffffffff,2.0,0.0,0.0
84119d1ffffffff,2.0,0.0,0.0
8411a63ffffffff,2.0,0.0,0.0
8411aa7ffffffff,2.0,0.0,0.0
8411ae3ffffffff,3.0,0.0,0.0
8411b4dffffffff,3.0,0.0,0.0
8414839ffffffff,1.0,0.0,0.0
8414921ffffffff,2.0,0.0,0.0
8414995ffffffff,1.0,0.0,0.0
8414ae1ffffffff,2.0,0.0,0.0
8414ae5ffffffff,26.0,0.0,0.0
8414aedffffffff,2.0,0.0,0.0
8414d65ffffffff,2.0,0.0,0.0
8415923ffffffff,1.0,0.0,0.0
8415929ffffffff,2.0,0.0,0.0
841592bffffffff,5.0,0.0,0.0
8418019ffffffff,2.0,0.0,0.0
841801bffffffff,3.0,0.0,0.0
841801dffffffff,2.0,0.0,0.0
8418059ffffffff,2.0,0.0,0.0
841805bffffffff,5.0,0.0,0.0
8418213ffffffff,2.0,0.0,0.0
8418233ffffffff,8.0,0.0,0.0
8418251ffffffff,4.0,0.0,0.0
841825bffffffff,1.0,0.0,0.0
8418281ffffffff,4.0,0.0,0.0
8418285ffffffff,4.0,0.0,0.0
8418289ffffffff,2.0,0.0,0.0
841828bffffffff,24.0,0.0,0.0
84182a3ffffffff,11.0,0.0,0.0
84182a7ffffffff,15.0,0.0,0.0
84182adffffffff,1.0,0.0,0.0
84182c1ffffffff,69.0,0.0,0.0
84182c3ffffffff,35.0,0.0,0.0
84182c5ffffffff,2.0,0.0,0.0
84182c9ffffffff,20.0,0.0,0.0
84182cbffffffff,36.0,0.0,0.0
84182cdffffffff,2.0,0.0,0.0
84182d3ffffffff,2.0,0.0,0.0
84182e5ffffffff,12.0,0.0,0.0
84182e7ffffffff,1.0,0.0,0.0
84182e9ffffffff,4.0,0.0,0.0
84182ebffffffff,2.0,0.0,0.0
8418443ffffffff,29.0,6.0,0.0
8418447ffffffff,5.0,2.0,0.0
8418449ffffffff,2.0,0.0,0.0
8418451ffffffff,2.0,0.0,0.0
8418453ffffffff,3.0,0.0,0.0
8418455ffffffff,1.0,0.0,0.0
8418457ffffffff,11.0,0.0,0.0
8418459ffffffff,9.0,4.0,0.0
841845bffffffff,10.0,0.0,0.0
841845dffffffff,18.0,2.0,0.0
8418461ffffffff,6.0,4.0,0.0
8418469ffffffff,8.0,0.0,0.0
841846bffffffff,9.0,0.0,0.0
841846dffffffff,44.0,2.0,0.0
8418491ffffffff,47.0,0.0,0.0
8418493ffffffff,14.0,0.0,0.0
8418495ffffffff,2462.0,0.0,0.0
8418497ffffffff,10.0,0.0,0.0
8418499ffffffff,2.0,0.0,0.0
841849bffffffff,2.0,0.0,0.0
841849dffffffff,127.0,0.0,0.0
84184a3ffffffff,6.0,0.0,0.0
84184b1ffffffff,358.0,0.0,0.0
84184b3ffffffff,50.0,0.0,0.0
84184b5ffffffff,151.0,0.0,0.0
84184b7ffffffff,93.0,0.0,0.0
84184b9ffffffff,109.0,0.0,0.0
84184bbffffffff,208.0,0.0,0.0
84184bdffffffff,130.0,0.0,0.0
84184c3ffffffff,4.0,2.0,0.0
84184c9ffffffff,2.0,1.0,0.0
84184cbffffffff,1.0,0.0,0.0
84184d5ffffffff,9.0,0.0,0.0
84184d9ffffffff,2.0,0.0,0.0
84184dbffffffff,1.0,0.0,0.0
84184ddffffffff,107.0,2.0,0.0
8418593ffffffff,37.0,0.0,0.0
8418597ffffffff,149.0,0.0,0.0
84185b1ffffffff,10.0,0.0,0.0
84185b3ffffffff,4.0,0.0,0.0
84185b5ffffffff,128.0,0.0,0.0
84185b7ffffffff,1.0,0.0,0.0
84185bbffffffff,308.0,0.0,0.0
8418609ffffffff,4.0,0.0,0.0
