cell_id,Turdus albicollis,Turdus albicollis [phaeopygus Group],Turdus albicollis [albicollis Group]
825f47fffffffff,2.0,0.0,0.0
825f5ffffffffff,19.0,9.0,0.0
8266dffffffffff,3.0,3.0,0.0
82674ffffffffff,4.0,0.0,0.0
826757fffffffff,6.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0
828137fffffffff,2.0,0.0,2.0
828187fffffffff,28.0,0.0,0.0
828b27fffffffff,10.0,0.0,9.0
828e67fffffffff,5.0,5.0,0.0
82a837fffffffff,2.0,0.0,2.0
82a887fffffffff,3.0,0.0,3.0
82a897fffffffff,1.0,0.0,1.0
82a92ffffffffff,12.0,0.0,0.0
82a967fffffffff,7.0,0.0,0.0
82a977fffffffff,11.0,0.0,0.0
82b25ffffffffff,1.0,0.0,0.0
82c2d7fffffffff,2.0,0.0,0.0
82c2dffffffffff,2.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0
