cell_id,Myiotriccus ornatus,Myiotriccus ornatus ornatus/stellatus,Myiotriccus ornatus phoenicurus/aureiventris
82660ffffffffff,669.0,6.0,0.0
82661ffffffffff,3886.0,461.0,0.0
8266c7fffffffff,196.0,0.0,2.0
8266d7fffffffff,10233.0,1368.0,23.0
8266dffffffffff,1793.0,0.0,175.0
8266e7fffffffff,242.0,0.0,0.0
8266f7fffffffff,1180.0,37.0,0.0
828b67fffffffff,182.0,0.0,3.0
828b6ffffffffff,9.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0
828f0ffffffffff,575.0,42.0,0.0
828f2ffffffffff,288.0,1.0,0.0
828f47fffffffff,28.0,0.0,3.0
828f4ffffffffff,56.0,0.0,0.0
828f5ffffffffff,7.0,0.0,0.0
828f77fffffffff,1251.0,0.0,131.0
