cell_id,Fregetta grallaria,Fregetta grallaria [grallaria Group],Fregetta grallaria titan
84a0c37ffffffff,1.0,0.0,0.0
84a161bffffffff,1.0,0.0,1.0
84a1683ffffffff,1.0,0.0,1.0
84a1689ffffffff,1.0,0.0,1.0
84a169dffffffff,2.0,0.0,1.0
84a16c1ffffffff,2.0,0.0,2.0
84a16c9ffffffff,7.0,0.0,7.0
84a16cdffffffff,3.0,0.0,3.0
84a4c95ffffffff,1.0,0.0,0.0
84b0019ffffffff,1.0,1.0,0.0
84ba1a3ffffffff,20.0,0.0,0.0
84ba1a7ffffffff,15.0,0.0,0.0
84ba69dffffffff,2.0,0.0,0.0
84ba6d7ffffffff,3.0,0.0,0.0
84baf4dffffffff,14.0,0.0,0.0
84bd485ffffffff,8.0,2.0,0.0
84bd4e3ffffffff,1.0,0.0,0.0
84be147ffffffff,1.0,0.0,0.0
84bea05ffffffff,1.0,0.0,0.0
84beae3ffffffff,4.0,0.0,0.0
84beae7ffffffff,2.0,0.0,0.0
84bf1a1ffffffff,1.0,0.0,0.0
84bf1adffffffff,1.0,0.0,0.0
84bf665ffffffff,1.0,0.0,0.0
84bf8b9ffffffff,46.0,0.0,0.0
84bf8bbffffffff,1.0,0.0,0.0
84c01c5ffffffff,1.0,0.0,0.0
84c01e1ffffffff,6.0,0.0,0.0
84c01ebffffffff,5.0,0.0,0.0
84c022bffffffff,1.0,0.0,0.0
84c0e2dffffffff,8.0,0.0,0.0
84c0e65ffffffff,1.0,0.0,0.0
84c0f5bffffffff,1.0,0.0,0.0
84c64d3ffffffff,1.0,0.0,0.0
84ccf11ffffffff,1.0,0.0,0.0
84ccf17ffffffff,2.0,0.0,0.0
84d1255ffffffff,1.0,0.0,0.0
84d136dffffffff,1.0,0.0,0.0
84dcdb1ffffffff,1.0,0.0,0.0
84dcdd3ffffffff,1.0,0.0,0.0
84dcdd7ffffffff,1.0,1.0,0.0
