cell_id,Onychognathus fulgidus,Onychognathus fulgidus fulgidus,Onychognathus fulgidus hartlaubii/intermedius
8458833ffffffff,1.0,0.0,0.0
8458839ffffffff,5.0,0.0,0.0
845890bffffffff,2.0,0.0,0.0
845894dffffffff,3.0,0.0,0.0
8458d0bffffffff,1.0,0.0,0.0
8458d29ffffffff,1.0,0.0,0.0
8458d31ffffffff,2.0,0.0,0.0
8458de5ffffffff,1.0,0.0,1.0
8458e49ffffffff,2.0,0.0,0.0
846a969ffffffff,1.0,0.0,0.0
846ac07ffffffff,1.0,0.0,0.0
846ac0bffffffff,4.0,0.0,0.0
846ac15ffffffff,45.0,0.0,0.0
846ac89ffffffff,4.0,0.0,0.0
846acc7ffffffff,3.0,0.0,0.0
846acd5ffffffff,1.0,0.0,0.0
846adc1ffffffff,36.0,0.0,0.0
846aea1ffffffff,2.0,0.0,0.0
846aeabffffffff,1.0,0.0,0.0
8475085ffffffff,12.0,0.0,0.0
8475087ffffffff,4.0,0.0,4.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,218.0,0.0,26.0
84750d3ffffffff,3.0,0.0,0.0
84750d7ffffffff,1.0,0.0,0.0
84750d9ffffffff,12.0,0.0,0.0
84750ddffffffff,3.0,0.0,0.0
8475137ffffffff,1.0,0.0,0.0
847518dffffffff,1.0,0.0,0.0
8475199ffffffff,2.0,0.0,0.0
847519bffffffff,5.0,0.0,0.0
8475293ffffffff,5.0,0.0,0.0
8475295ffffffff,70.0,0.0,10.0
847529bffffffff,1.0,0.0,0.0
84752abffffffff,26.0,0.0,0.0
84752b5ffffffff,22.0,0.0,4.0
84752e9ffffffff,3.0,0.0,0.0
8475a07ffffffff,1.0,0.0,0.0
8475a81ffffffff,1.0,0.0,0.0
8475a83ffffffff,4.0,0.0,0.0
8475b07ffffffff,1.0,0.0,0.0
8482125ffffffff,1.0,0.0,0.0
8482307ffffffff,1.0,0.0,0.0
8482833ffffffff,1.0,0.0,0.0
84828d1ffffffff,4.0,0.0,0.0
8482a09ffffffff,2.0,0.0,0.0
8482a37ffffffff,10.0,0.0,0.0
8482a55ffffffff,2.0,0.0,0.0
8482a83ffffffff,1.0,0.0,0.0
8482d03ffffffff,3.0,0.0,0.0
8482d07ffffffff,7.0,0.0,0.0
8482d1dffffffff,3.0,0.0,0.0
8482d27ffffffff,1.0,0.0,0.0
8482e31ffffffff,37.0,0.0,0.0
8482e33ffffffff,20.0,0.0,0.0
8482e37ffffffff,47.0,0.0,0.0
8482f09ffffffff,4.0,0.0,1.0
848313dffffffff,3.0,0.0,0.0
848398bffffffff,2.0,0.0,0.0
8483a89ffffffff,5.0,0.0,0.0
8483ac3ffffffff,1.0,0.0,0.0
