cell_id,Pipile cujubi,Pipile cujubi nattereri,Pipile cujubi cujubi
8480643ffffffff,4.0,0.0,0.0
8480655ffffffff,8.0,0.0,0.0
8480745ffffffff,4.0,0.0,0.0
8480759ffffffff,1.0,0.0,0.0
8481423ffffffff,2.0,0.0,0.0
8481431ffffffff,4.0,0.0,0.0
84814a1ffffffff,2.0,0.0,0.0
84814a9ffffffff,1.0,0.0,0.0
84814adffffffff,2.0,0.0,0.0
84814d5ffffffff,12.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814e3ffffffff,3.0,0.0,0.0
84814e7ffffffff,40.0,0.0,0.0
84815d9ffffffff,7.0,0.0,0.0
84815dbffffffff,1.0,0.0,0.0
8481635ffffffff,13.0,0.0,0.0
8481637ffffffff,2.0,0.0,0.0
848a109ffffffff,8.0,0.0,0.0
848a127ffffffff,3.0,0.0,0.0
848a155ffffffff,8.0,0.0,0.0
848a157ffffffff,1.0,0.0,0.0
848a2edffffffff,1.0,1.0,0.0
848a337ffffffff,9.0,0.0,0.0
848a809ffffffff,3.0,0.0,0.0
848a827ffffffff,2.0,0.0,0.0
848a925ffffffff,2.0,0.0,0.0
848a927ffffffff,6.0,0.0,0.0
848aa87ffffffff,6.0,0.0,0.0
848aa9dffffffff,11.0,0.0,0.0
848aaa3ffffffff,6.0,0.0,0.0
848aaa5ffffffff,8.0,0.0,0.0
848aaadffffffff,7.0,0.0,0.0
848aabdffffffff,3.0,0.0,0.0
848aac9ffffffff,1.0,0.0,0.0
848aacbffffffff,4.0,0.0,0.0
848b105ffffffff,5.0,0.0,0.0
848b10dffffffff,8.0,0.0,0.0
848b131ffffffff,4.0,0.0,0.0
848b835ffffffff,1.0,0.0,0.0
848b849ffffffff,82.0,0.0,0.0
848b881ffffffff,80.0,2.0,0.0
848b8a1ffffffff,2.0,0.0,0.0
848b8a5ffffffff,7.0,0.0,0.0
848b8d3ffffffff,1.0,0.0,0.0
848b98bffffffff,41.0,0.0,1.0
848b98dffffffff,2.0,0.0,0.0
848b999ffffffff,74.0,0.0,0.0
848b99dffffffff,49.0,0.0,0.0
848b9d1ffffffff,14.0,0.0,0.0
848b9d5ffffffff,858.0,10.0,12.0
848b9d7ffffffff,6.0,0.0,0.0
848ba55ffffffff,2.0,0.0,0.0
848ba5dffffffff,2.0,0.0,0.0
848ba6dffffffff,1.0,0.0,0.0
848bac1ffffffff,1.0,0.0,0.0
848bad1ffffffff,1.0,0.0,0.0
84a8401ffffffff,1.0,0.0,0.0
84a8403ffffffff,3.0,0.0,0.0
84a840dffffffff,2.0,0.0,0.0
84a842bffffffff,1.0,0.0,0.0
84a8463ffffffff,6.0,0.0,0.0
84a84a3ffffffff,6.0,0.0,0.0
84a84e7ffffffff,2.0,0.0,0.0
84a8591ffffffff,532.0,3.0,0.0
84a8599ffffffff,238.0,0.0,0.0
84a85b3ffffffff,1.0,0.0,0.0
84a85b9ffffffff,8.0,0.0,0.0
84a85d3ffffffff,206.0,8.0,0.0
84a85d7ffffffff,30.0,0.0,0.0
84a8c97ffffffff,7.0,0.0,0.0
84a8c9bffffffff,3.0,0.0,0.0
