cell_id,Campylorhamphus procurvoides,Campylorhamphus procurvoides sanus,Campylorhamphus procurvoides procurvoides,Campylorhamphus procurvoides gyldenstolpei
835f00fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,3.0,0.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0,0.0
835f14fffffffff,2.0,0.0,1.0,0.0
835f15fffffffff,1.0,0.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0,0.0
835f2cfffffffff,1.0,0.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0,0.0
835f42fffffffff,10.0,0.0,0.0,0.0
835f54fffffffff,4.0,0.0,0.0,0.0
835f68fffffffff,1.0,0.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0,0.0
835f71fffffffff,6.0,1.0,0.0,0.0
836641fffffffff,58.0,0.0,0.0,0.0
836656fffffffff,3.0,0.0,0.0,0.0
83665afffffffff,5.0,0.0,0.0,0.0
83665bfffffffff,34.0,0.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0,0.0
8366c2fffffffff,5.0,0.0,0.0,0.0
8366c9fffffffff,1.0,0.0,0.0,0.0
8366cefffffffff,1.0,0.0,0.0,0.0
8366dcfffffffff,2.0,0.0,0.0,0.0
8366e5fffffffff,18.0,0.0,0.0,0.0
8366eafffffffff,4.0,0.0,0.0,0.0
83806afffffffff,1.0,0.0,1.0,0.0
83806bfffffffff,3.0,0.0,0.0,0.0
838a00fffffffff,6.0,0.0,0.0,4.0
838a01fffffffff,6.0,0.0,0.0,6.0
838a05fffffffff,1.0,0.0,0.0,1.0
838a1afffffffff,4.0,0.0,0.0,4.0
838a33fffffffff,1.0,0.0,0.0,0.0
838a45fffffffff,6.0,0.0,0.0,0.0
838a4efffffffff,1.0,0.0,0.0,0.0
838a69fffffffff,1.0,0.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0,0.0
838aa9fffffffff,1.0,0.0,0.0,1.0
838ad2fffffffff,1.0,0.0,0.0,0.0
838af0fffffffff,3.0,0.0,1.0,0.0
838af1fffffffff,2.0,0.0,0.0,0.0
838af2fffffffff,37.0,0.0,11.0,0.0
838af4fffffffff,1.0,0.0,0.0,0.0
838af6fffffffff,223.0,0.0,14.0,0.0
