cell_id,Amazona leucocephala,Amazona leucocephala leucocephala,Amazona leucocephala bahamensis,Amazona leucocephala caymanensis/hesterna
824437fffffffff,89.0,29.0,0.0,0.0
824487fffffffff,191.0,0.0,15.0,0.0
8244b7fffffffff,187.0,0.0,83.0,0.0
82451ffffffffff,5.0,0.0,0.0,0.0
824587fffffffff,129.0,23.0,0.0,9.0
82458ffffffffff,2128.0,1060.0,0.0,0.0
824597fffffffff,276.0,116.0,0.0,0.0
82459ffffffffff,55.0,30.0,0.0,0.0
8245a7fffffffff,1262.0,0.0,0.0,376.0
824c87fffffffff,46.0,0.0,0.0,0.0
824c97fffffffff,4.0,4.0,0.0,0.0
824c9ffffffffff,140.0,38.0,2.0,0.0
