cell_id,Turdus assimilis,Turdus assimilis [assimilis Group],Turdus assimilis daguae
8445203ffffffff,2.0,0.0,0.0
8445243ffffffff,6.0,0.0,0.0
8445247ffffffff,10.0,0.0,0.0
844524bffffffff,3.0,0.0,0.0
8445257ffffffff,7.0,0.0,0.0
844526bffffffff,5.0,0.0,0.0
84452e1ffffffff,24.0,0.0,0.0
84452e3ffffffff,6.0,0.0,0.0
84452e5ffffffff,19.0,0.0,0.0
84452e9ffffffff,8.0,0.0,0.0
8448337ffffffff,1.0,0.0,0.0
8448361ffffffff,8.0,0.0,0.0
8448b15ffffffff,29.0,0.0,0.0
8448b37ffffffff,1.0,0.0,0.0
8448b39ffffffff,169.0,11.0,0.0
8448e85ffffffff,7.0,0.0,0.0
8448e8dffffffff,262.0,12.0,0.0
8449827ffffffff,2.0,0.0,0.0
8449829ffffffff,8.0,0.0,0.0
844982bffffffff,1.0,0.0,0.0
844990bffffffff,7.0,0.0,0.0
844995dffffffff,13.0,0.0,0.0
8449961ffffffff,3.0,0.0,0.0
8449963ffffffff,13.0,7.0,0.0
8449969ffffffff,1.0,0.0,0.0
844996bffffffff,2.0,0.0,0.0
84499cdffffffff,7.0,0.0,0.0
8449a23ffffffff,4.0,0.0,0.0
8449a27ffffffff,4.0,0.0,0.0
8449a83ffffffff,1.0,0.0,0.0
8449a8dffffffff,2.0,0.0,0.0
8466849ffffffff,7.0,0.0,0.0
8466a33ffffffff,6.0,6.0,0.0
8466a57ffffffff,3.0,0.0,0.0
8466a5bffffffff,4.0,0.0,0.0
8466b0bffffffff,1.0,1.0,0.0
8466b4dffffffff,2.0,2.0,0.0
8466b53ffffffff,1.0,0.0,0.0
8466b55ffffffff,8.0,0.0,0.0
8466d31ffffffff,2.0,0.0,2.0
8466d35ffffffff,5.0,0.0,5.0
8466d3dffffffff,2.0,0.0,2.0
846d04dffffffff,2.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0
846d223ffffffff,2.0,0.0,0.0
846d22bffffffff,4.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d295ffffffff,8.0,0.0,0.0
846d2adffffffff,2.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0
846d2c7ffffffff,1.0,0.0,0.0
846d31bffffffff,7.0,0.0,0.0
846d32bffffffff,8.0,0.0,0.0
846d337ffffffff,9.0,2.0,0.0
846d34bffffffff,2.0,2.0,0.0
846d35dffffffff,6.0,1.0,0.0
846d609ffffffff,35.0,0.0,0.0
846d64dffffffff,2.0,0.0,0.0
846d655ffffffff,4.0,0.0,0.0
846d69dffffffff,60.0,57.0,0.0
846d6c7ffffffff,1.0,0.0,0.0
848f2abffffffff,4.0,0.0,4.0
