cell_id,Rallus elegans,Rallus elegans elegans,Rallus elegans ramsdeni
832603fffffffff,1.0,0.0,0.0
832608fffffffff,1.0,0.0,0.0
83260afffffffff,18.0,3.0,0.0
83260bfffffffff,17.0,1.0,0.0
832620fffffffff,21.0,0.0,0.0
83262afffffffff,2.0,0.0,0.0
832640fffffffff,4.0,0.0,0.0
832646fffffffff,65.0,0.0,0.0
832648fffffffff,15.0,0.0,0.0
832649fffffffff,4.0,0.0,0.0
83264afffffffff,2.0,0.0,0.0
83264efffffffff,14.0,0.0,0.0
832652fffffffff,6.0,0.0,0.0
832659fffffffff,1.0,0.0,0.0
83265bfffffffff,1.0,0.0,0.0
83265dfffffffff,2.0,0.0,0.0
832660fffffffff,9.0,0.0,0.0
832662fffffffff,9.0,0.0,0.0
832663fffffffff,8.0,0.0,0.0
832664fffffffff,82.0,3.0,0.0
832666fffffffff,46.0,0.0,0.0
83266afffffffff,22.0,0.0,0.0
83266efffffffff,17.0,0.0,0.0
832688fffffffff,2.0,0.0,0.0
83268dfffffffff,3.0,0.0,0.0
8326c3fffffffff,1.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326c9fffffffff,2.0,0.0,0.0
8326cafffffffff,1.0,0.0,0.0
8326cbfffffffff,20.0,0.0,0.0
8326e2fffffffff,12.0,0.0,0.0
8326e3fffffffff,23.0,1.0,0.0
8326e5fffffffff,43.0,0.0,0.0
8326e8fffffffff,1.0,0.0,0.0
8326edfffffffff,2.0,0.0,0.0
832741fffffffff,3.0,0.0,0.0
832748fffffffff,3.0,0.0,0.0
83274bfffffffff,10.0,0.0,0.0
83274dfffffffff,33.0,0.0,0.0
832758fffffffff,2.0,0.0,0.0
832759fffffffff,114.0,1.0,0.0
83275bfffffffff,4.0,0.0,0.0
83275cfffffffff,2.0,0.0,0.0
83275dfffffffff,6.0,0.0,0.0
83276bfffffffff,17.0,0.0,0.0
832a10fffffffff,95.0,4.0,0.0
832a12fffffffff,12.0,0.0,0.0
832a13fffffffff,140.0,0.0,0.0
832a14fffffffff,2.0,0.0,0.0
