cell_id,Peucaea botterii,Peucaea botterii [botterii Group],Peucaea botterii [petenica Group]
834424fffffffff,7.0,0.0,0.0
83452afffffffff,12.0,0.0,2.0
83452cfffffffff,16.0,0.0,7.0
83452efffffffff,2.0,0.0,0.0
834536fffffffff,8.0,0.0,0.0
834814fffffffff,1.0,0.0,0.0
834816fffffffff,8.0,0.0,0.0
8348a0fffffffff,1.0,0.0,0.0
8348b2fffffffff,3.0,0.0,0.0
8348b3fffffffff,7.0,0.0,0.0
8348b4fffffffff,1.0,0.0,0.0
8348c5fffffffff,45.0,4.0,0.0
8348e2fffffffff,1.0,0.0,0.0
8348e3fffffffff,7.0,0.0,0.0
8348e8fffffffff,210.0,8.0,0.0
8348eafffffffff,28.0,4.0,0.0
8348ecfffffffff,102.0,0.0,0.0
8348eefffffffff,153.0,9.0,0.0
834982fffffffff,2.0,0.0,0.0
834994fffffffff,5.0,2.0,0.0
834995fffffffff,73.0,6.0,0.0
834996fffffffff,9.0,0.0,0.0
8349aafffffffff,15.0,1.0,0.0
8349b3fffffffff,2.0,2.0,0.0
836d14fffffffff,2.0,0.0,0.0
836d25fffffffff,3.0,0.0,3.0
836d29fffffffff,51.0,0.0,0.0
836d2bfffffffff,7.0,0.0,0.0
836d2dfffffffff,25.0,0.0,0.0
836d2efffffffff,3.0,0.0,0.0
836d68fffffffff,15.0,0.0,0.0
