cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
821487fffffffff,1.0,1.0,0.0
821497fffffffff,4.0,4.0,0.0
82149ffffffffff,24.0,24.0,0.0
8214affffffffff,12.0,12.0,0.0
8214b7fffffffff,2.0,2.0,0.0
8214d7fffffffff,4.0,4.0,0.0
82244ffffffffff,5.0,5.0,0.0
82248ffffffffff,5.0,5.0,0.0
8224effffffffff,3.0,3.0,0.0
822e0ffffffffff,7.0,7.0,0.0
822e67fffffffff,115.0,115.0,0.0
822e6ffffffffff,116.0,116.0,0.0
822e77fffffffff,4.0,4.0,0.0
822ec7fffffffff,4.0,4.0,0.0
822ecffffffffff,29.0,29.0,0.0
822edffffffffff,6.0,6.0,0.0
822f5ffffffffff,28.0,28.0,0.0
822f6ffffffffff,1.0,1.0,0.0
823007fffffffff,36.0,36.0,0.0
823017fffffffff,10.0,10.0,0.0
82301ffffffffff,58.0,58.0,0.0
823027fffffffff,14.0,14.0,0.0
823037fffffffff,99.0,99.0,0.0
823087fffffffff,50.0,50.0,0.0
823097fffffffff,26.0,25.0,0.0
82309ffffffffff,313.0,313.0,0.0
8230affffffffff,5.0,5.0,0.0
8230b7fffffffff,5.0,5.0,0.0
8230c7fffffffff,43.0,43.0,0.0
8230cffffffffff,2.0,2.0,0.0
8230d7fffffffff,8.0,8.0,0.0
8230dffffffffff,2.0,2.0,0.0
8230e7fffffffff,91.0,91.0,0.0
8230f7fffffffff,10.0,10.0,0.0
823107fffffffff,3.0,3.0,0.0
82310ffffffffff,2.0,2.0,0.0
82311ffffffffff,2.0,2.0,0.0
823127fffffffff,4.0,4.0,0.0
82312ffffffffff,11.0,11.0,0.0
823147fffffffff,5.0,5.0,0.0
823157fffffffff,4.0,4.0,0.0
823167fffffffff,3.0,3.0,0.0
82316ffffffffff,106.0,106.0,0.0
823177fffffffff,4.0,4.0,0.0
823187fffffffff,153.0,153.0,0.0
82318ffffffffff,577.0,577.0,0.0
823197fffffffff,11.0,11.0,0.0
82319ffffffffff,6.0,6.0,0.0
8231affffffffff,481.0,481.0,0.0
823c07fffffffff,1075.0,1074.0,0.0
823c0ffffffffff,27.0,27.0,0.0
823c17fffffffff,34.0,34.0,0.0
823c1ffffffffff,306.0,306.0,0.0
823c37fffffffff,164.0,164.0,0.0
823c47fffffffff,1.0,1.0,0.0
823c57fffffffff,1.0,1.0,0.0
823c5ffffffffff,11.0,0.0,6.0
823c6ffffffffff,51.0,51.0,0.0
823c87fffffffff,119.0,119.0,0.0
823c8ffffffffff,262.0,262.0,0.0
823c97fffffffff,222.0,222.0,0.0
823c9ffffffffff,54.0,54.0,0.0
823ca7fffffffff,33.0,33.0,0.0
823caffffffffff,162.0,162.0,0.0
823cb7fffffffff,1335.0,1335.0,0.0
823cc7fffffffff,267.0,101.0,144.0
823ccffffffffff,57.0,12.0,45.0
823cd7fffffffff,27.0,27.0,0.0
823cdffffffffff,66.0,59.0,4.0
823ce7fffffffff,216.0,134.0,57.0
823ceffffffffff,413.0,1.0,389.0
823cf7fffffffff,553.0,550.0,0.0
823d17fffffffff,5818.0,5816.0,0.0
823d1ffffffffff,84.0,84.0,0.0
823d37fffffffff,170.0,170.0,0.0
823d87fffffffff,815.0,815.0,0.0
823d8ffffffffff,67.0,67.0,0.0
823d97fffffffff,437.0,437.0,0.0
823d9ffffffffff,1329.0,1329.0,0.0
823da7fffffffff,904.0,904.0,0.0
823daffffffffff,1740.0,1740.0,0.0
823db7fffffffff,734.0,734.0,0.0
824007fffffffff,16.0,16.0,0.0
82400ffffffffff,8.0,8.0,0.0
824017fffffffff,6.0,6.0,0.0
82401ffffffffff,11.0,11.0,0.0
824027fffffffff,5.0,5.0,0.0
82402ffffffffff,109.0,109.0,0.0
824037fffffffff,9.0,9.0,0.0
824047fffffffff,28.0,17.0,2.0
82404ffffffffff,411.0,195.0,171.0
824057fffffffff,7.0,7.0,0.0
82405ffffffffff,10.0,9.0,1.0
824067fffffffff,128.0,22.0,102.0
82406ffffffffff,34.0,24.0,5.0
824077fffffffff,19.0,17.0,2.0
82408ffffffffff,43.0,43.0,0.0
824097fffffffff,12.0,12.0,0.0
82409ffffffffff,1.0,1.0,0.0
8240a7fffffffff,16.0,16.0,0.0
8240affffffffff,13.0,13.0,0.0
8240b7fffffffff,67.0,67.0,0.0
8240c7fffffffff,26.0,26.0,0.0
8240e7fffffffff,142.0,142.0,0.0
8240effffffffff,71.0,71.0,0.0
8240f7fffffffff,8.0,8.0,0.0
824107fffffffff,5.0,5.0,0.0
82410ffffffffff,10.0,10.0,0.0
824117fffffffff,19.0,19.0,0.0
82411ffffffffff,572.0,572.0,0.0
824137fffffffff,15.0,0.0,15.0
824147fffffffff,45.0,32.0,0.0
82414ffffffffff,92.0,29.0,54.0
824157fffffffff,35.0,35.0,0.0
82415ffffffffff,69.0,67.0,1.0
824167fffffffff,17.0,7.0,7.0
82416ffffffffff,76.0,46.0,23.0
824177fffffffff,7.0,7.0,0.0
824187fffffffff,76.0,76.0,0.0
82418ffffffffff,9.0,9.0,0.0
824197fffffffff,235.0,235.0,0.0
82419ffffffffff,6.0,6.0,0.0
8241a7fffffffff,283.0,283.0,0.0
8241affffffffff,14.0,14.0,0.0
8241b7fffffffff,584.0,572.0,0.0
82424ffffffffff,70.0,70.0,0.0
824257fffffffff,10.0,10.0,0.0
82425ffffffffff,56.0,55.0,0.0
8242c7fffffffff,2170.0,2170.0,0.0
