cell_id,Cynanthus canivetii,Cynanthus canivetii canivetii,Cynanthus canivetii salvini/osberti
834424fffffffff,67.0,0.0,0.0
834501fffffffff,252.0,34.0,0.0
834505fffffffff,102.0,12.0,0.0
834508fffffffff,778.0,119.0,0.0
834509fffffffff,551.0,149.0,0.0
83450afffffffff,811.0,57.0,0.0
83450bfffffffff,453.0,73.0,0.0
83450cfffffffff,136.0,22.0,0.0
83450dfffffffff,361.0,156.0,0.0
83450efffffffff,460.0,41.0,0.0
834519fffffffff,2.0,0.0,0.0
834520fffffffff,123.0,0.0,31.0
834521fffffffff,273.0,10.0,0.0
834522fffffffff,54.0,0.0,12.0
834523fffffffff,86.0,4.0,0.0
834524fffffffff,205.0,0.0,92.0
834525fffffffff,382.0,0.0,111.0
834526fffffffff,178.0,0.0,45.0
834528fffffffff,200.0,24.0,0.0
834529fffffffff,6.0,0.0,0.0
83452afffffffff,738.0,79.0,0.0
83452bfffffffff,103.0,13.0,0.0
83452cfffffffff,496.0,26.0,0.0
83452dfffffffff,30.0,0.0,0.0
83452efffffffff,1640.0,142.0,0.0
834530fffffffff,2.0,0.0,0.0
834531fffffffff,1029.0,39.0,3.0
834533fffffffff,245.0,28.0,0.0
834534fffffffff,38.0,0.0,6.0
834535fffffffff,127.0,0.0,79.0
834536fffffffff,2.0,0.0,0.0
834572fffffffff,223.0,59.0,0.0
834574fffffffff,18.0,2.0,0.0
834576fffffffff,30.0,5.0,0.0
834990fffffffff,39.0,7.0,0.0
834991fffffffff,8.0,0.0,0.0
834992fffffffff,10.0,1.0,0.0
834993fffffffff,2.0,1.0,0.0
834996fffffffff,983.0,110.0,0.0
834998fffffffff,54.0,0.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499cfffffffff,6.0,0.0,0.0
83499efffffffff,18.0,0.0,0.0
8366b4fffffffff,23.0,0.0,0.0
8366b6fffffffff,22.0,0.0,0.0
836792fffffffff,6.0,0.0,0.0
836d04fffffffff,231.0,73.0,0.0
836d05fffffffff,69.0,33.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,68.0,8.0,0.0
836d22fffffffff,7.0,0.0,0.0
836d23fffffffff,673.0,125.0,0.0
836d24fffffffff,4.0,0.0,0.0
836d25fffffffff,65.0,3.0,0.0
836d28fffffffff,8.0,0.0,4.0
836d29fffffffff,67.0,0.0,33.0
836d2afffffffff,7.0,0.0,0.0
836d2bfffffffff,72.0,0.0,26.0
836d2cfffffffff,51.0,4.0,0.0
836d2dfffffffff,143.0,24.0,9.0
836d2efffffffff,78.0,5.0,0.0
836d30fffffffff,108.0,16.0,0.0
836d31fffffffff,82.0,15.0,0.0
836d34fffffffff,101.0,8.0,0.0
836d35fffffffff,23.0,0.0,0.0
836d36fffffffff,15.0,0.0,0.0
836d60fffffffff,180.0,0.0,53.0
836d61fffffffff,511.0,0.0,6.0
836d63fffffffff,24.0,0.0,0.0
836d64fffffffff,412.0,0.0,213.0
836d65fffffffff,182.0,0.0,7.0
836d66fffffffff,207.0,0.0,92.0
836d68fffffffff,1887.0,0.0,0.0
836d69fffffffff,3637.0,0.0,0.0
836d6afffffffff,46.0,0.0,0.0
836d6bfffffffff,541.0,0.0,0.0
836d6cfffffffff,15.0,0.0,0.0
836d6efffffffff,364.0,0.0,2.0
836d74fffffffff,380.0,0.0,12.0
836d75fffffffff,16.0,0.0,0.0
