cell_id,Alophoixus ruficrissus,Alophoixus ruficrissus ruficrissus/fowleri,Alophoixus ruficrissus meratusensis
826807fffffffff,6.0,0.0,0.0
826817fffffffff,1054.0,0.0,0.0
82681ffffffffff,12.0,0.0,0.0
