cell_id,Stilpnia cucullata,Stilpnia cucullata versicolor,Stilpnia cucullata cucullata
845e667ffffffff,805.0,0.0,58.0
845e719ffffffff,5.0,0.0,0.0
845e71bffffffff,207.0,99.0,0.0
845e753ffffffff,1.0,0.0,0.0
