cell_id,Treron phoenicopterus,Treron phoenicopterus chlorigaster/phillipsi,Treron phoenicopterus [phoenicopterus Group]
823c07fffffffff,8.0,0.0,0.0
823c1ffffffffff,18.0,0.0,0.0
823c5ffffffffff,10.0,0.0,0.0
823c87fffffffff,5.0,0.0,0.0
823c8ffffffffff,16.0,0.0,0.0
823c97fffffffff,4.0,0.0,0.0
823caffffffffff,18.0,0.0,0.0
823cc7fffffffff,13.0,0.0,0.0
823ce7fffffffff,37.0,0.0,0.0
823ceffffffffff,54.0,0.0,0.0
823cf7fffffffff,78.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0
823d17fffffffff,9.0,0.0,0.0
823d37fffffffff,2.0,0.0,0.0
823d87fffffffff,2.0,0.0,0.0
823d8ffffffffff,17.0,0.0,0.0
823d9ffffffffff,3.0,0.0,0.0
823da7fffffffff,2.0,0.0,0.0
823daffffffffff,12.0,0.0,0.0
82404ffffffffff,1.0,0.0,0.0
8242c7fffffffff,6.0,0.0,0.0
8242cffffffffff,15.0,0.0,0.0
8242dffffffffff,13.0,0.0,0.0
826007fffffffff,152.0,0.0,0.0
826017fffffffff,221.0,0.0,0.0
82601ffffffffff,4.0,0.0,0.0
826027fffffffff,1.0,0.0,0.0
826037fffffffff,853.0,0.0,0.0
826087fffffffff,15.0,0.0,0.0
82608ffffffffff,24.0,0.0,0.0
826097fffffffff,7.0,0.0,0.0
82609ffffffffff,33.0,0.0,0.0
8260a7fffffffff,96.0,0.0,0.0
8260affffffffff,16.0,0.0,0.0
8260b7fffffffff,24.0,0.0,0.0
826117fffffffff,33.0,0.0,0.0
82618ffffffffff,17.0,0.0,0.0
8261affffffffff,2.0,0.0,0.0
826487fffffffff,8.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264a7fffffffff,11.0,0.0,0.0
