cell_id,Amazona farinosa,Amazona farinosa guatemalae/virenticeps,Amazona farinosa farinosa
8229a7fffffffff,2.0,0.0,0.0
823927fffffffff,1.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
82450ffffffffff,4.0,0.0,0.0
824527fffffffff,2.0,2.0,0.0
82452ffffffffff,31.0,5.0,0.0
824997fffffffff,17.0,2.0,0.0
825f07fffffffff,2.0,0.0,2.0
825f4ffffffffff,7.0,0.0,0.0
826617fffffffff,25.0,0.0,13.0
82661ffffffffff,236.0,0.0,0.0
82662ffffffffff,2.0,0.0,0.0
82665ffffffffff,3.0,0.0,0.0
8266a7fffffffff,18.0,1.0,0.0
8266b7fffffffff,10.0,4.0,0.0
8266c7fffffffff,4.0,0.0,0.0
8266d7fffffffff,7.0,0.0,1.0
8266dffffffffff,37.0,0.0,8.0
8266e7fffffffff,8.0,0.0,0.0
8266f7fffffffff,6.0,0.0,0.0
826757fffffffff,7.0,0.0,0.0
826797fffffffff,8.0,0.0,0.0
82679ffffffffff,109.0,1.0,0.0
826d27fffffffff,10.0,0.0,0.0
826d2ffffffffff,8.0,0.0,0.0
826d37fffffffff,10.0,0.0,0.0
826d67fffffffff,4.0,0.0,0.0
826d6ffffffffff,31.0,7.0,0.0
828a27fffffffff,1.0,0.0,1.0
828a4ffffffffff,2.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0
828b47fffffffff,2.0,0.0,2.0
828b5ffffffffff,6.0,0.0,6.0
828b67fffffffff,11.0,0.0,11.0
828f0ffffffffff,2.0,0.0,0.0
828f77fffffffff,6.0,0.0,0.0
82a817fffffffff,6.0,0.0,2.0
82a8a7fffffffff,3.0,0.0,0.0
