cell_id,Leptotila plumbeiceps,Leptotila plumbeiceps plumbeiceps/notia,Leptotila plumbeiceps battyi/malae
834501fffffffff,8.0,0.0,0.0
834505fffffffff,39.0,6.0,0.0
834508fffffffff,4.0,0.0,0.0
83450cfffffffff,24.0,6.0,0.0
834520fffffffff,46.0,0.0,0.0
834521fffffffff,165.0,0.0,0.0
834522fffffffff,159.0,4.0,0.0
834523fffffffff,397.0,15.0,0.0
834525fffffffff,36.0,0.0,0.0
834526fffffffff,513.0,10.0,0.0
834528fffffffff,496.0,6.0,0.0
834529fffffffff,2.0,0.0,0.0
83452afffffffff,816.0,54.0,0.0
83452bfffffffff,10.0,3.0,0.0
83452cfffffffff,385.0,9.0,0.0
83452dfffffffff,120.0,7.0,0.0
83452efffffffff,2921.0,115.0,0.0
834530fffffffff,13.0,0.0,0.0
834531fffffffff,20.0,0.0,0.0
834534fffffffff,6.0,0.0,0.0
834535fffffffff,6.0,0.0,0.0
834536fffffffff,4.0,0.0,0.0
834564fffffffff,4.0,0.0,0.0
834996fffffffff,23.0,11.0,0.0
834998fffffffff,27.0,1.0,0.0
83499bfffffffff,1.0,0.0,0.0
83499efffffffff,2.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0
836619fffffffff,13.0,0.0,0.0
83661bfffffffff,75.0,4.0,0.0
836684fffffffff,92.0,0.0,63.0
8366a3fffffffff,8.0,0.0,3.0
8366a6fffffffff,228.0,35.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b5fffffffff,13.0,0.0,0.0
8366c6fffffffff,120.0,10.0,0.0
8366e6fffffffff,1391.0,15.0,0.0
8366f1fffffffff,98.0,5.0,0.0
8366f5fffffffff,121.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0
836796fffffffff,17.0,0.0,0.0
83679bfffffffff,41.0,0.0,0.0
8367b2fffffffff,2.0,0.0,0.0
836d20fffffffff,33.0,0.0,0.0
836d21fffffffff,118.0,36.0,0.0
836d22fffffffff,18.0,5.0,0.0
836d23fffffffff,34.0,17.0,0.0
836d25fffffffff,1.0,0.0,0.0
836d2cfffffffff,128.0,41.0,0.0
836d2dfffffffff,22.0,0.0,0.0
836d30fffffffff,63.0,2.0,0.0
836d31fffffffff,78.0,40.0,0.0
836d34fffffffff,40.0,9.0,0.0
836d35fffffffff,127.0,15.0,0.0
836d36fffffffff,3.0,0.0,0.0
836d65fffffffff,56.0,0.0,0.0
836d68fffffffff,94.0,0.0,0.0
836d69fffffffff,38.0,0.0,0.0
836d6bfffffffff,948.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6dfffffffff,1355.0,0.0,0.0
