cell_id,Geokichla princei,Geokichla princei princei,Geokichla princei batesi
8254effffffffff,1.0,0.0,0.0
8258d7fffffffff,3.0,0.0,0.0
826ac7fffffffff,11.0,0.0,0.0
8275affffffffff,2.0,0.0,0.0
8275b7fffffffff,1.0,0.0,0.0
828297fffffffff,2.0,0.0,0.0
8282affffffffff,4.0,0.0,1.0
