cell_id,Gymnobucco calvus,Gymnobucco calvus calvus/congicus,Gymnobucco calvus vernayi
8254effffffffff,1.0,0.0,0.0
825897fffffffff,2.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258d7fffffffff,34.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0
827507fffffffff,3.0,0.0,0.0
82750ffffffffff,376.0,30.0,0.0
82751ffffffffff,9.0,0.0,0.0
82752ffffffffff,297.0,13.0,0.0
827587fffffffff,2.0,0.0,0.0
82758ffffffffff,1.0,0.0,0.0
8275a7fffffffff,17.0,0.0,0.0
8275affffffffff,8.0,0.0,0.0
8275b7fffffffff,12.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0
828237fffffffff,1.0,0.0,0.0
82828ffffffffff,24.0,0.0,0.0
8282a7fffffffff,16.0,0.0,0.0
8282affffffffff,10.0,0.0,0.0
8282d7fffffffff,68.0,0.0,0.0
8282dffffffffff,2.0,0.0,0.0
828317fffffffff,21.0,0.0,0.0
828337fffffffff,1.0,0.0,0.0
82839ffffffffff,1.0,0.0,0.0
8283affffffffff,21.0,0.0,0.0
