cell_id,Phylloscopus affinis,Phylloscopus affinis affinis/perflavus,Phylloscopus affinis occisinensis
82301ffffffffff,9.0,0.0,9.0
8230e7fffffffff,8.0,0.0,8.0
823c0ffffffffff,8.0,6.0,0.0
823c1ffffffffff,74.0,73.0,0.0
823c37fffffffff,9.0,5.0,0.0
823c57fffffffff,104.0,104.0,0.0
823c5ffffffffff,119.0,114.0,0.0
823c6ffffffffff,4.0,0.0,4.0
823c87fffffffff,2.0,2.0,0.0
823c8ffffffffff,14.0,14.0,0.0
823c97fffffffff,20.0,20.0,0.0
823caffffffffff,96.0,86.0,0.0
823cb7fffffffff,31.0,31.0,0.0
823cc7fffffffff,11.0,11.0,0.0
823ccffffffffff,13.0,13.0,0.0
823ce7fffffffff,213.0,213.0,0.0
823ceffffffffff,484.0,484.0,0.0
823cf7fffffffff,11.0,11.0,0.0
823d07fffffffff,2.0,2.0,0.0
823d17fffffffff,42.0,42.0,0.0
823d1ffffffffff,9.0,9.0,0.0
823d37fffffffff,25.0,22.0,0.0
823d87fffffffff,12.0,12.0,0.0
823d8ffffffffff,6.0,6.0,0.0
823d97fffffffff,4.0,4.0,0.0
823d9ffffffffff,30.0,27.0,0.0
823da7fffffffff,42.0,35.0,0.0
823daffffffffff,76.0,75.0,0.0
82404ffffffffff,8.0,0.0,8.0
82405ffffffffff,1.0,0.0,1.0
8241b7fffffffff,6.0,0.0,2.0
82425ffffffffff,2.0,2.0,0.0
8242cffffffffff,3.0,3.0,0.0
8242dffffffffff,12.0,12.0,0.0
8242effffffffff,2.0,2.0,0.0
824b37fffffffff,1.0,0.0,1.0
824ba7fffffffff,9.0,0.0,0.0
826007fffffffff,4.0,4.0,0.0
826017fffffffff,202.0,180.0,0.0
82601ffffffffff,2.0,2.0,0.0
826027fffffffff,2.0,2.0,0.0
826037fffffffff,574.0,558.0,0.0
826087fffffffff,2.0,2.0,0.0
82608ffffffffff,68.0,66.0,0.0
826097fffffffff,23.0,20.0,0.0
82609ffffffffff,6.0,6.0,0.0
8260a7fffffffff,31.0,31.0,0.0
8260affffffffff,5.0,5.0,0.0
8260b7fffffffff,26.0,26.0,0.0
82618ffffffffff,12.0,12.0,0.0
82619ffffffffff,2.0,2.0,0.0
826487fffffffff,17.0,0.0,15.0
82648ffffffffff,1.0,1.0,0.0
