cell_id,Myiothlypis luteoviridis,Myiothlypis luteoviridis [luteoviridis Group],Myiothlypis luteoviridis striaticeps,Myiothlypis luteoviridis euophrys
836608fffffffff,17.0,0.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660bfffffffff,10.0,0.0,0.0,0.0
83660cfffffffff,7.0,0.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0,0.0
836618fffffffff,234.0,3.0,0.0,0.0
836619fffffffff,58.0,0.0,0.0,0.0
83661bfffffffff,507.0,6.0,0.0,0.0
83661dfffffffff,3.0,0.0,0.0,0.0
836629fffffffff,32.0,3.0,0.0,0.0
83662bfffffffff,8.0,0.0,0.0,0.0
8366c0fffffffff,9.0,0.0,0.0,0.0
8366c2fffffffff,75.0,0.0,0.0,0.0
8366c4fffffffff,6.0,0.0,0.0,0.0
8366c6fffffffff,167.0,0.0,0.0,0.0
8366d1fffffffff,10.0,0.0,0.0,0.0
8366d5fffffffff,10.0,0.0,0.0,0.0
8366defffffffff,231.0,16.0,0.0,0.0
8366e0fffffffff,148.0,2.0,0.0,0.0
8366e2fffffffff,4.0,0.0,0.0,0.0
8366e4fffffffff,47.0,0.0,0.0,0.0
8366e5fffffffff,41.0,0.0,0.0,0.0
8366e6fffffffff,398.0,6.0,0.0,0.0
8366f1fffffffff,43.0,0.0,0.0,0.0
8366f3fffffffff,7.0,1.0,0.0,0.0
8366f5fffffffff,38.0,0.0,0.0,0.0
838b20fffffffff,10.0,0.0,0.0,0.0
838b21fffffffff,19.0,0.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0,0.0
838b2cfffffffff,117.0,0.0,0.0,3.0
838b60fffffffff,1.0,0.0,0.0,0.0
838b61fffffffff,549.0,0.0,11.0,0.0
838b63fffffffff,3.0,0.0,0.0,0.0
838b66fffffffff,3.0,0.0,0.0,0.0
838b6cfffffffff,266.0,0.0,1.0,0.0
838b75fffffffff,21.0,0.0,0.0,0.0
838e60fffffffff,8.0,0.0,0.0,0.0
838e61fffffffff,7.0,0.0,0.0,0.0
838e64fffffffff,70.0,0.0,0.0,0.0
838e65fffffffff,135.0,0.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0,0.0
838e6dfffffffff,14.0,0.0,0.0,0.0
838f0dfffffffff,4.0,4.0,0.0,0.0
838f29fffffffff,1.0,0.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0,0.0
838f40fffffffff,1.0,0.0,0.0,0.0
838f42fffffffff,100.0,0.0,0.0,0.0
838f46fffffffff,63.0,0.0,0.0,0.0
838f4afffffffff,97.0,0.0,5.0,0.0
838f51fffffffff,3.0,0.0,0.0,0.0
838f54fffffffff,20.0,0.0,0.0,0.0
838f55fffffffff,178.0,0.0,0.0,0.0
838f59fffffffff,180.0,0.0,20.0,0.0
838f5cfffffffff,19.0,0.0,0.0,0.0
838f5dfffffffff,8.0,0.0,0.0,0.0
838f72fffffffff,491.0,37.0,0.0,0.0
838f73fffffffff,70.0,0.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,62.0,9.0,0.0,0.0
83b325fffffffff,130.0,0.0,0.0,5.0
