cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
835f03fffffffff,1.0,1.0,0.0
835f59fffffffff,4.0,0.0,0.0
835f5bfffffffff,7.0,0.0,0.0
836610fffffffff,19.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0
836616fffffffff,10.0,0.0,0.0
836619fffffffff,5.0,0.0,0.0
83661cfffffffff,2.0,0.0,0.0
8366a0fffffffff,25.0,0.0,0.0
8366a5fffffffff,37.0,0.0,0.0
8366a6fffffffff,20.0,0.0,0.0
8366b5fffffffff,3.0,0.0,0.0
8366d3fffffffff,2.0,0.0,2.0
8366d5fffffffff,5.0,0.0,0.0
8366defffffffff,48.0,0.0,0.0
8366e4fffffffff,12.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0
83674cfffffffff,91.0,0.0,0.0
83679bfffffffff,5.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0
838b61fffffffff,1.0,1.0,0.0
838f2bfffffffff,2.0,0.0,2.0
838f70fffffffff,8.0,0.0,0.0
838f72fffffffff,7.0,0.0,0.0
838f76fffffffff,6.0,0.0,0.0
83a92cfffffffff,3.0,0.0,0.0
83a944fffffffff,10.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0
83a950fffffffff,3.0,0.0,0.0
83a953fffffffff,29.0,0.0,0.0
83a955fffffffff,1.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83b24dfffffffff,4.0,0.0,0.0
83c2f2fffffffff,2.0,0.0,0.0
83c2f3fffffffff,18.0,0.0,0.0
