cell_id,Xiphorhynchus guttatus,Xiphorhynchus guttatus [guttatus Group],Xiphorhynchus guttatus guttatoides/dorbignyanus,Xiphorhynchus guttatus [eytoni Group]
825f07fffffffff,250.0,3.0,0.0,0.0
825f0ffffffffff,28.0,0.0,0.0,0.0
825f17fffffffff,45.0,2.0,0.0,0.0
825f1ffffffffff,35.0,0.0,0.0,0.0
825f2ffffffffff,840.0,0.0,0.0,0.0
825f47fffffffff,90.0,0.0,0.0,0.0
825f4ffffffffff,16.0,0.0,0.0,0.0
825f57fffffffff,29.0,0.0,0.0,0.0
825f6ffffffffff,82.0,0.0,0.0,0.0
825f77fffffffff,74.0,2.0,0.0,0.0
82660ffffffffff,25.0,0.0,0.0,0.0
826647fffffffff,452.0,0.0,0.0,0.0
82664ffffffffff,22.0,0.0,0.0,0.0
826657fffffffff,19.0,0.0,0.0,0.0
82665ffffffffff,493.0,0.0,4.0,0.0
826667fffffffff,58.0,2.0,0.0,0.0
82666ffffffffff,9.0,0.0,0.0,0.0
826677fffffffff,13.0,0.0,0.0,0.0
8266c7fffffffff,263.0,0.0,0.0,0.0
8266cffffffffff,99.0,0.0,0.0,0.0
8266d7fffffffff,71.0,0.0,0.0,0.0
8266dffffffffff,1932.0,0.0,243.0,0.0
8266e7fffffffff,614.0,0.0,0.0,0.0
8266effffffffff,557.0,0.0,0.0,0.0
828007fffffffff,24.0,0.0,9.0,7.0
82800ffffffffff,3.0,0.0,3.0,0.0
828017fffffffff,123.0,0.0,49.0,8.0
82802ffffffffff,2.0,0.0,0.0,0.0
828047fffffffff,237.0,0.0,159.0,14.0
82804ffffffffff,24.0,7.0,0.0,0.0
828057fffffffff,5.0,3.0,1.0,0.0
828067fffffffff,79.0,0.0,25.0,46.0
82806ffffffffff,25.0,4.0,0.0,0.0
828077fffffffff,25.0,0.0,6.0,0.0
82812ffffffffff,21.0,0.0,14.0,0.0
828137fffffffff,126.0,49.0,0.0,0.0
828147fffffffff,163.0,0.0,140.0,2.0
82814ffffffffff,351.0,0.0,228.0,27.0
828157fffffffff,3.0,0.0,2.0,0.0
82815ffffffffff,89.0,0.0,38.0,9.0
828167fffffffff,111.0,0.0,80.0,0.0
828177fffffffff,143.0,0.0,104.0,1.0
828187fffffffff,10.0,3.0,0.0,0.0
82818ffffffffff,1.0,0.0,0.0,0.0
82819ffffffffff,4.0,1.0,0.0,0.0
828a07fffffffff,134.0,0.0,42.0,1.0
828a17fffffffff,114.0,2.0,0.0,0.0
828a1ffffffffff,9.0,0.0,2.0,2.0
828a27fffffffff,14.0,0.0,7.0,0.0
828a2ffffffffff,2.0,0.0,0.0,0.0
828a37fffffffff,20.0,0.0,9.0,0.0
828a47fffffffff,228.0,0.0,3.0,0.0
828a4ffffffffff,6.0,0.0,0.0,0.0
828a57fffffffff,13.0,0.0,0.0,0.0
828a6ffffffffff,665.0,0.0,0.0,0.0
828a77fffffffff,20.0,0.0,0.0,0.0
828a87fffffffff,111.0,0.0,24.0,38.0
828a8ffffffffff,1.0,0.0,0.0,0.0
828a97fffffffff,28.0,0.0,4.0,15.0
828a9ffffffffff,36.0,0.0,0.0,0.0
828aaffffffffff,129.0,6.0,0.0,94.0
828ab7fffffffff,3.0,0.0,3.0,0.0
828adffffffffff,91.0,8.0,0.0,0.0
828ae7fffffffff,5.0,0.0,0.0,0.0
828af7fffffffff,219.0,5.0,108.0,2.0
828b07fffffffff,30.0,0.0,3.0,0.0
828b0ffffffffff,97.0,0.0,12.0,0.0
828b17fffffffff,23.0,0.0,4.0,0.0
828b1ffffffffff,15.0,0.0,0.0,0.0
828b27fffffffff,393.0,0.0,12.0,0.0
828b2ffffffffff,90.0,0.0,6.0,0.0
828b37fffffffff,79.0,0.0,0.0,0.0
828b47fffffffff,2279.0,0.0,41.0,0.0
828b4ffffffffff,25.0,0.0,13.0,0.0
828b57fffffffff,145.0,0.0,14.0,0.0
828b5ffffffffff,91.0,0.0,46.0,0.0
828b67fffffffff,981.0,0.0,67.0,0.0
828b6ffffffffff,210.0,0.0,2.0,0.0
828b77fffffffff,236.0,0.0,2.0,0.0
828b87fffffffff,88.0,0.0,14.0,41.0
828b8ffffffffff,27.0,0.0,1.0,4.0
828b9ffffffffff,555.0,0.0,52.0,26.0
828ba7fffffffff,76.0,0.0,17.0,0.0
828bb7fffffffff,204.0,0.0,31.0,4.0
828e67fffffffff,12.0,0.0,0.0,0.0
828f47fffffffff,256.0,0.0,27.0,0.0
828f4ffffffffff,181.0,0.0,0.0,0.0
828f57fffffffff,1.0,0.0,1.0,0.0
828f5ffffffffff,14.0,0.0,0.0,0.0
828f67fffffffff,222.0,0.0,0.0,0.0
828f6ffffffffff,115.0,0.0,25.0,0.0
828f77fffffffff,146.0,0.0,14.0,0.0
82a597fffffffff,280.0,126.0,0.0,0.0
82a847fffffffff,27.0,0.0,18.0,0.0
82a84ffffffffff,9.0,0.0,3.0,0.0
82a857fffffffff,5.0,0.0,0.0,0.0
82a85ffffffffff,959.0,0.0,114.0,3.0
82a887fffffffff,2.0,2.0,0.0,0.0
82a897fffffffff,224.0,73.0,0.0,0.0
82a8c7fffffffff,179.0,0.0,156.0,0.0
82a8cffffffffff,28.0,0.0,12.0,0.0
82a8dffffffffff,19.0,0.0,18.0,0.0
82b327fffffffff,9.0,0.0,0.0,0.0
82b367fffffffff,1.0,0.0,1.0,0.0
