cell_id,Cossyphicula isabellae,Cossyphicula isabellae batesi,Cossyphicula isabellae isabellae
8258c7fffffffff,1.0,0.0,0.0
8258d7fffffffff,16.0,14.0,0.0
8258dffffffffff,14.0,2.0,0.0
8282d7fffffffff,73.0,0.0,28.0
