cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
842c1edffffffff,2.0,0.0,0.0,0.0
842c853ffffffff,2.0,0.0,0.0,0.0
842c8edffffffff,2.0,0.0,0.0,0.0
842c901ffffffff,4.0,0.0,0.0,0.0
842c903ffffffff,3.0,0.0,0.0,0.0
842c915ffffffff,11.0,0.0,0.0,0.0
842c935ffffffff,97.0,0.0,0.0,0.0
842c93bffffffff,124.0,9.0,0.0,0.0
842c9c7ffffffff,2.0,0.0,0.0,0.0
842ca4dffffffff,4.0,0.0,0.0,0.0
842caadffffffff,4.0,0.0,0.0,0.0
842cac5ffffffff,2.0,0.0,0.0,0.0
842cac9ffffffff,2.0,0.0,0.0,0.0
842cd4bffffffff,1.0,0.0,0.0,0.0
842cdc1ffffffff,1.0,0.0,0.0,0.0
842cf07ffffffff,1.0,1.0,0.0,0.0
842cf23ffffffff,2.0,2.0,0.0,0.0
842cf27ffffffff,4.0,1.0,0.0,0.0
842cf35ffffffff,1.0,0.0,0.0,0.0
842cf37ffffffff,11.0,0.0,0.0,0.0
842d81dffffffff,1.0,0.0,0.0,0.0
842d849ffffffff,29.0,0.0,0.0,0.0
842d86dffffffff,2.0,0.0,0.0,2.0
842d949ffffffff,3.0,0.0,0.0,0.0
842d959ffffffff,1.0,0.0,0.0,0.0
842db05ffffffff,6.0,1.0,0.0,0.0
842db07ffffffff,18.0,3.0,0.0,0.0
842db1bffffffff,2.0,0.0,0.0,0.0
842db21ffffffff,28.0,12.0,0.0,0.0
842db23ffffffff,9.0,0.0,0.0,0.0
842db25ffffffff,24.0,0.0,0.0,0.0
842db29ffffffff,62.0,11.0,0.0,0.0
842db2bffffffff,118.0,24.0,0.0,0.0
842db2dffffffff,79.0,17.0,0.0,0.0
842db37ffffffff,3.0,0.0,0.0,1.0
842db3dffffffff,8.0,0.0,0.0,0.0
842db65ffffffff,12.0,2.0,0.0,0.0
842db67ffffffff,34.0,9.0,0.0,0.0
8438119ffffffff,2.0,0.0,2.0,0.0
8438161ffffffff,10.0,0.0,8.0,0.0
843816dffffffff,12.0,0.0,6.0,0.0
8438367ffffffff,1.0,0.0,0.0,0.0
8438405ffffffff,1.0,0.0,1.0,0.0
843840bffffffff,2.0,0.0,0.0,0.0
8438421ffffffff,1.0,0.0,1.0,0.0
8438427ffffffff,1.0,0.0,1.0,0.0
8438429ffffffff,3.0,0.0,3.0,0.0
8438431ffffffff,1.0,0.0,1.0,0.0
8438435ffffffff,26.0,0.0,24.0,0.0
8438437ffffffff,2.0,0.0,2.0,0.0
8438597ffffffff,1.0,0.0,0.0,0.0
84385c3ffffffff,2.0,0.0,0.0,0.0
84385c9ffffffff,1.0,0.0,0.0,0.0
84385cbffffffff,2.0,0.0,1.0,0.0
84385d9ffffffff,13.0,0.0,7.0,0.0
84385dbffffffff,1.0,0.0,0.0,0.0
8438755ffffffff,1.0,0.0,1.0,0.0
8439883ffffffff,3.0,0.0,2.0,0.0
8439885ffffffff,21.0,0.0,15.0,0.0
8439887ffffffff,187.0,0.0,152.0,0.0
8439891ffffffff,3.0,0.0,3.0,0.0
8439895ffffffff,2.0,0.0,2.0,0.0
843989bffffffff,2.0,0.0,1.0,0.0
84398a9ffffffff,1.0,0.0,1.0,0.0
84398e5ffffffff,44.0,0.0,33.0,0.0
84398e7ffffffff,6.0,0.0,6.0,0.0
8439917ffffffff,2.0,0.0,2.0,0.0
843991bffffffff,2.0,0.0,2.0,0.0
843992bffffffff,2.0,0.0,2.0,0.0
8439931ffffffff,5.0,0.0,0.0,0.0
8439939ffffffff,11.0,0.0,8.0,0.0
843993bffffffff,1.0,0.0,1.0,0.0
843993dffffffff,2.0,0.0,2.0,0.0
8439989ffffffff,1.0,0.0,0.0,0.0
84399c9ffffffff,1.0,0.0,0.0,0.0
84399dbffffffff,2.0,0.0,2.0,0.0
843e45dffffffff,5.0,0.0,0.0,0.0
843e4a1ffffffff,7.0,0.0,0.0,0.0
843e583ffffffff,2.0,0.0,0.0,0.0
843e5b9ffffffff,5.0,0.0,0.0,0.0
843e629ffffffff,1.0,0.0,0.0,0.0
843e62bffffffff,8.0,0.0,0.0,0.0
843e631ffffffff,2.0,0.0,0.0,0.0
843e637ffffffff,1.0,0.0,0.0,0.0
843e685ffffffff,4.0,0.0,0.0,0.0
843e687ffffffff,1.0,0.0,0.0,0.0
843e689ffffffff,138.0,30.0,0.0,0.0
843e68bffffffff,21.0,1.0,0.0,0.0
843e68dffffffff,7.0,0.0,0.0,0.0
843e6a1ffffffff,1.0,0.0,0.0,0.0
843e6a7ffffffff,15.0,0.0,0.0,0.0
843e6abffffffff,2.0,0.0,0.0,0.0
843e6c1ffffffff,32.0,7.0,0.0,0.0
843e6c3ffffffff,624.0,133.0,0.0,16.0
843e6c7ffffffff,214.0,31.0,0.0,5.0
