cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
83452afffffffff,7.0,0.0,5.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0,0.0,0.0
83452efffffffff,23.0,0.0,8.0,0.0,0.0
834990fffffffff,9.0,0.0,2.0,0.0,0.0
834991fffffffff,2.0,0.0,2.0,0.0,0.0
834996fffffffff,17.0,0.0,6.0,0.0,0.0
83499cfffffffff,3.0,0.0,0.0,0.0,0.0
8349b1fffffffff,3.0,3.0,0.0,0.0,0.0
8349b5fffffffff,6.0,6.0,0.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0,0.0,0.0
8366a0fffffffff,9.0,0.0,0.0,4.0,0.0
8366a5fffffffff,7.0,0.0,0.0,1.0,0.0
8366b4fffffffff,87.0,0.0,0.0,80.0,0.0
836796fffffffff,5.0,0.0,0.0,0.0,0.0
836d04fffffffff,5.0,0.0,0.0,0.0,0.0
836d05fffffffff,4.0,0.0,4.0,0.0,0.0
836d14fffffffff,2.0,2.0,0.0,0.0,0.0
836d21fffffffff,2.0,0.0,0.0,0.0,0.0
836d23fffffffff,6.0,0.0,0.0,0.0,0.0
836d29fffffffff,1.0,0.0,1.0,0.0,0.0
836d2bfffffffff,16.0,0.0,14.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0,0.0,0.0
836d30fffffffff,5.0,0.0,0.0,0.0,0.0
836d31fffffffff,11.0,0.0,2.0,0.0,0.0
836d33fffffffff,3.0,3.0,0.0,0.0,0.0
836d34fffffffff,2.0,0.0,0.0,0.0,0.0
836d65fffffffff,2.0,0.0,0.0,0.0,0.0
836d66fffffffff,4.0,0.0,4.0,0.0,0.0
836d69fffffffff,276.0,0.0,12.0,256.0,0.0
