cell_id,Fringilla spodiogenys,Fringilla spodiogenys africana,Fringilla spodiogenys spodiogenys/harterti
833816fffffffff,2.0,0.0,0.0
833829fffffffff,1.0,0.0,0.0
833830fffffffff,12.0,2.0,0.0
833831fffffffff,3.0,2.0,0.0
833832fffffffff,18.0,17.0,0.0
833834fffffffff,39.0,39.0,0.0
833835fffffffff,4.0,4.0,0.0
833836fffffffff,254.0,215.0,0.0
833840fffffffff,1.0,0.0,1.0
833845fffffffff,5.0,0.0,5.0
83384efffffffff,1.0,0.0,1.0
83385dfffffffff,2.0,0.0,2.0
833862fffffffff,34.0,14.0,0.0
833863fffffffff,10.0,1.0,4.0
833868fffffffff,57.0,0.0,43.0
83386afffffffff,19.0,0.0,8.0
83386efffffffff,10.0,0.0,7.0
833871fffffffff,5.0,5.0,0.0
833874fffffffff,3.0,3.0,0.0
833875fffffffff,16.0,7.0,0.0
83391afffffffff,481.0,461.0,0.0
833980fffffffff,11.0,10.0,0.0
833981fffffffff,30.0,25.0,0.0
833982fffffffff,48.0,38.0,0.0
833983fffffffff,560.0,510.0,0.0
833985fffffffff,4.0,4.0,0.0
833988fffffffff,73.0,62.0,0.0
833989fffffffff,2.0,2.0,0.0
83398afffffffff,5.0,5.0,0.0
83398bfffffffff,1.0,1.0,0.0
83398cfffffffff,9.0,8.0,0.0
83398dfffffffff,39.0,36.0,0.0
83398efffffffff,220.0,188.0,0.0
833991fffffffff,105.0,96.0,0.0
83399cfffffffff,15.0,15.0,0.0
83399dfffffffff,6.0,4.0,0.0
8339a8fffffffff,63.0,56.0,0.0
8339a9fffffffff,73.0,67.0,0.0
8339aafffffffff,12.0,10.0,0.0
8339abfffffffff,252.0,234.0,0.0
