cell_id,Pardalotus punctatus,Pardalotus punctatus millitaris,Pardalotus punctatus punctatus,Pardalotus punctatus xanthopyge
849c055ffffffff,6.0,0.0,0.0,0.0
849c059ffffffff,1.0,0.0,0.0,0.0
849c215ffffffff,3.0,0.0,0.0,0.0
849c231ffffffff,2.0,0.0,0.0,0.0
849c23bffffffff,1.0,0.0,0.0,0.0
84a7005ffffffff,1.0,0.0,0.0,0.0
84a702bffffffff,3.0,0.0,0.0,0.0
84a7265ffffffff,2.0,0.0,2.0,0.0
84b9a59ffffffff,2.0,0.0,0.0,2.0
84be085ffffffff,2.0,0.0,0.0,0.0
84be089ffffffff,28.0,0.0,1.0,0.0
84be099ffffffff,3.0,0.0,0.0,0.0
84be0a3ffffffff,3.0,0.0,3.0,0.0
84be0c3ffffffff,3.0,0.0,0.0,0.0
84be0c7ffffffff,2.0,0.0,0.0,0.0
84be0e3ffffffff,1.0,0.0,0.0,0.0
84be401ffffffff,1.0,0.0,0.0,1.0
84be407ffffffff,2.0,0.0,0.0,0.0
84be431ffffffff,2.0,0.0,0.0,0.0
84be441ffffffff,1.0,0.0,0.0,1.0
84be445ffffffff,3.0,0.0,0.0,0.0
84be45dffffffff,1.0,0.0,1.0,0.0
84be497ffffffff,5.0,0.0,3.0,2.0
84be4ddffffffff,3.0,0.0,0.0,3.0
84be4e3ffffffff,2.0,0.0,0.0,2.0
84be539ffffffff,1.0,0.0,0.0,0.0
84be54dffffffff,1.0,0.0,1.0,0.0
84be621ffffffff,1.0,0.0,1.0,0.0
84be627ffffffff,2.0,0.0,0.0,0.0
84be633ffffffff,2.0,0.0,0.0,2.0
84be6a5ffffffff,2.0,0.0,0.0,2.0
84be725ffffffff,2.0,0.0,0.0,0.0
84be727ffffffff,3.0,0.0,0.0,0.0
84be729ffffffff,4.0,0.0,0.0,0.0
84be72dffffffff,20.0,0.0,0.0,0.0
84be8d1ffffffff,6.0,0.0,2.0,0.0
84be8d9ffffffff,2.0,0.0,0.0,0.0
84bef0dffffffff,2.0,0.0,0.0,0.0
84bef43ffffffff,2.0,0.0,2.0,0.0
84bef6dffffffff,2.0,0.0,0.0,0.0
84bf4c3ffffffff,2.0,0.0,0.0,0.0
