cell_id,Cuculus clamosus,Cuculus clamosus gabonensis,Cuculus clamosus clamosus
8454e8bffffffff,9.0,0.0,0.0
8458839ffffffff,2.0,0.0,0.0
8458943ffffffff,1.0,0.0,0.0
845894bffffffff,4.0,0.0,0.0
845894dffffffff,2.0,0.0,0.0
8458951ffffffff,4.0,0.0,0.0
8458969ffffffff,2.0,0.0,0.0
8458d23ffffffff,7.0,2.0,0.0
8458db5ffffffff,2.0,0.0,0.0
8458de5ffffffff,2.0,0.0,0.0
8458dedffffffff,1.0,0.0,0.0
8458e2dffffffff,3.0,0.0,0.0
846a109ffffffff,2.0,0.0,0.0
846a4b3ffffffff,1.0,0.0,0.0
846a5a9ffffffff,8.0,0.0,0.0
846a9e5ffffffff,3.0,0.0,0.0
846a9e7ffffffff,1.0,0.0,0.0
846ac03ffffffff,13.0,7.0,0.0
846ac0bffffffff,8.0,0.0,0.0
846ac15ffffffff,48.0,5.0,0.0
846ac19ffffffff,3.0,0.0,0.0
846ac1bffffffff,1.0,0.0,0.0
846ac1dffffffff,2.0,0.0,0.0
846ac31ffffffff,6.0,0.0,0.0
846ac3dffffffff,4.0,0.0,0.0
846ac89ffffffff,3.0,3.0,0.0
846ac93ffffffff,3.0,0.0,0.0
846acadffffffff,1.0,0.0,0.0
846acc7ffffffff,6.0,0.0,0.0
846accbffffffff,1.0,0.0,0.0
846acd5ffffffff,15.0,1.0,0.0
846ace5ffffffff,43.0,5.0,0.0
846adadffffffff,1.0,0.0,0.0
846adc1ffffffff,85.0,13.0,0.0
846adc3ffffffff,1.0,0.0,0.0
846adc5ffffffff,4.0,4.0,0.0
846adc9ffffffff,3.0,0.0,0.0
846ade7ffffffff,5.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
846ae01ffffffff,1.0,0.0,0.0
846ae85ffffffff,6.0,2.0,0.0
846aea1ffffffff,24.0,5.0,0.0
846aea3ffffffff,3.0,0.0,0.0
846aea9ffffffff,2.0,2.0,0.0
846aeabffffffff,1.0,0.0,0.0
846aeb5ffffffff,1.0,0.0,0.0
846aed3ffffffff,2.0,0.0,0.0
846aee3ffffffff,3.0,0.0,0.0
8475085ffffffff,16.0,4.0,0.0
8475087ffffffff,22.0,6.0,0.0
8475095ffffffff,1.0,0.0,0.0
84750c5ffffffff,2.0,0.0,0.0
84750d1ffffffff,62.0,5.0,0.0
84750d9ffffffff,6.0,0.0,0.0
84750ddffffffff,5.0,0.0,0.0
