cell_id,Leptocoma aspasia,Leptocoma aspasia talautensis/sangirensis,Leptocoma aspasia grayi,Leptocoma aspasia porphyrolaema,Leptocoma aspasia [aspasioides Group],Leptocoma aspasia chlorolaema,Leptocoma aspasia [aspasia Group],Leptocoma aspasia [corinna Group],Leptocoma aspasia [undescribed form]
8268c7fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8268cffffffffff,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8268d7fffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8268dffffffffff,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82728ffffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827297fffffffff,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82729ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272a7fffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272affffffffff,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272b7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272d7fffffffff,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272dffffffffff,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8272f7fffffffff,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
827397fffffffff,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82739ffffffffff,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8273b7fffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82779ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829507fffffffff,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829527fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82952ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829547fffffffff,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829567fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82956ffffffffff,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c87fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c97fffffffff,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829c9ffffffffff,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829ca7fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829caffffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829cb7fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829cc7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829cd7fffffffff,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
829d9ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
