cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
824837fffffffff,55.0,0.0,0.0
8249a7fffffffff,1.0,0.0,0.0
8249affffffffff,2.0,0.0,0.0
8249b7fffffffff,3.0,0.0,0.0
826617fffffffff,4.0,0.0,0.0
826687fffffffff,12.0,0.0,2.0
82669ffffffffff,1.0,0.0,0.0
8266a7fffffffff,56.0,0.0,2.0
8266affffffffff,52.0,0.0,25.0
8266b7fffffffff,209.0,0.0,3.0
826c57fffffffff,6.0,0.0,0.0
826c5ffffffffff,4136.0,246.0,634.0
826d07fffffffff,2.0,0.0,0.0
826d17fffffffff,301.0,0.0,0.0
826d47fffffffff,4.0,0.0,0.0
826d4ffffffffff,21.0,0.0,0.0
826d57fffffffff,2.0,0.0,0.0
826d6ffffffffff,422.0,0.0,0.0
826d77fffffffff,120.0,0.0,0.0
828fa7fffffffff,1368.0,9.0,244.0
828fb7fffffffff,8.0,0.0,0.0
