cell_id,Patagioenas fasciata,Patagioenas fasciata [fasciata Group],Patagioenas fasciata vioscae,Patagioenas fasciata [albilinea Group]
821287fffffffff,84.0,0.0,0.0,0.0
82128ffffffffff,3.0,0.0,0.0,0.0
82129ffffffffff,93.0,0.0,0.0,0.0
8212b7fffffffff,65.0,0.0,0.0,0.0
8212d7fffffffff,96.0,0.0,0.0,0.0
822687fffffffff,914.0,0.0,0.0,0.0
82268ffffffffff,1877.0,0.0,0.0,0.0
822697fffffffff,40.0,0.0,0.0,0.0
82269ffffffffff,194.0,0.0,0.0,0.0
822807fffffffff,4007.0,0.0,0.0,0.0
822817fffffffff,3212.0,0.0,0.0,0.0
82281ffffffffff,3700.0,11.0,0.0,0.0
822837fffffffff,45059.0,1342.0,0.0,0.0
82288ffffffffff,5.0,0.0,0.0,0.0
8228affffffffff,2.0,0.0,0.0,0.0
8228c7fffffffff,2024.0,0.0,0.0,0.0
8228cffffffffff,3.0,0.0,0.0,0.0
8228d7fffffffff,18091.0,0.0,0.0,0.0
8228dffffffffff,6315.0,0.0,0.0,0.0
8228e7fffffffff,9.0,0.0,0.0,0.0
8228f7fffffffff,14525.0,0.0,0.0,0.0
822917fffffffff,5254.0,0.0,0.0,0.0
82291ffffffffff,3218.0,583.0,0.0,0.0
822987fffffffff,131.0,0.0,0.0,0.0
82298ffffffffff,2140.0,0.0,0.0,0.0
822997fffffffff,36.0,0.0,0.0,0.0
8229a7fffffffff,32093.0,2.0,0.0,0.0
8229affffffffff,6446.0,124.0,0.0,0.0
8229b7fffffffff,328.0,0.0,0.0,0.0
824527fffffffff,791.0,0.0,0.0,0.0
824537fffffffff,98.0,0.0,0.0,0.0
824807fffffffff,7.0,0.0,0.0,0.0
82480ffffffffff,12.0,0.0,0.0,0.0
824817fffffffff,395.0,9.0,0.0,0.0
82481ffffffffff,46.0,0.0,0.0,0.0
824827fffffffff,3.0,0.0,0.0,0.0
82482ffffffffff,343.0,0.0,240.0,0.0
824837fffffffff,170.0,1.0,0.0,0.0
82488ffffffffff,2.0,0.0,0.0,0.0
8248a7fffffffff,627.0,0.0,0.0,0.0
8248affffffffff,441.0,0.0,0.0,0.0
8248c7fffffffff,4135.0,0.0,0.0,0.0
8248cffffffffff,863.0,0.0,0.0,0.0
8248d7fffffffff,167.0,0.0,0.0,0.0
8248dffffffffff,1093.0,0.0,0.0,0.0
8248e7fffffffff,189.0,0.0,0.0,0.0
8248effffffffff,2605.0,0.0,0.0,0.0
824987fffffffff,91.0,4.0,0.0,0.0
82498ffffffffff,35.0,0.0,0.0,0.0
824997fffffffff,233.0,11.0,0.0,0.0
82499ffffffffff,73.0,0.0,0.0,0.0
8249affffffffff,367.0,24.0,0.0,0.0
8249b7fffffffff,94.0,0.0,0.0,0.0
825f4ffffffffff,16.0,0.0,0.0,0.0
825f6ffffffffff,1.0,0.0,0.0,0.0
825f77fffffffff,17.0,0.0,0.0,0.0
826607fffffffff,77.0,0.0,0.0,9.0
82660ffffffffff,2067.0,0.0,0.0,50.0
82661ffffffffff,7906.0,0.0,0.0,331.0
826627fffffffff,4110.0,0.0,0.0,453.0
82662ffffffffff,359.0,0.0,0.0,39.0
826657fffffffff,3.0,0.0,0.0,0.0
8266a7fffffffff,151.0,0.0,0.0,14.0
8266b7fffffffff,9969.0,0.0,0.0,172.0
8266c7fffffffff,1999.0,0.0,0.0,26.0
8266cffffffffff,1.0,0.0,0.0,0.0
8266d7fffffffff,4663.0,0.0,0.0,614.0
8266dffffffffff,1688.0,0.0,0.0,283.0
8266e7fffffffff,11965.0,0.0,0.0,427.0
8266effffffffff,6.0,0.0,0.0,0.0
8266f7fffffffff,2040.0,0.0,0.0,50.0
826747fffffffff,47.0,0.0,0.0,4.0
82674ffffffffff,135.0,0.0,0.0,4.0
82675ffffffffff,98.0,0.0,0.0,2.0
82679ffffffffff,28.0,0.0,0.0,0.0
826d07fffffffff,41.0,1.0,0.0,0.0
826d17fffffffff,16.0,3.0,0.0,0.0
826d27fffffffff,250.0,62.0,0.0,0.0
826d2ffffffffff,4663.0,322.0,0.0,0.0
826d37fffffffff,1060.0,173.0,0.0,0.0
826d67fffffffff,661.0,0.0,0.0,0.0
826d6ffffffffff,3557.0,0.0,0.0,0.0
826d77fffffffff,2.0,0.0,0.0,0.0
828b27fffffffff,113.0,0.0,0.0,0.0
828b2ffffffffff,222.0,0.0,0.0,0.0
828b67fffffffff,916.0,0.0,0.0,74.0
828b6ffffffffff,513.0,0.0,0.0,27.0
828b77fffffffff,16.0,0.0,0.0,0.0
828e67fffffffff,354.0,0.0,0.0,0.0
828e6ffffffffff,235.0,0.0,0.0,4.0
828f0ffffffffff,327.0,0.0,0.0,53.0
828f2ffffffffff,363.0,0.0,0.0,23.0
828f47fffffffff,114.0,0.0,0.0,4.0
828f4ffffffffff,20.0,0.0,0.0,0.0
828f57fffffffff,964.0,0.0,0.0,66.0
828f5ffffffffff,290.0,0.0,0.0,0.0
828f77fffffffff,2377.0,0.0,0.0,320.0
82a847fffffffff,2.0,0.0,0.0,0.0
82b277fffffffff,103.0,0.0,0.0,0.0
82b327fffffffff,255.0,0.0,0.0,0.0
82b347fffffffff,88.0,0.0,0.0,0.0
82b357fffffffff,22.0,0.0,0.0,0.0
82b35ffffffffff,29.0,0.0,0.0,0.0
82b377fffffffff,1.0,0.0,0.0,0.0
