cell_id,Agricola pallidus,Agricola pallidus [pallidus Group],Agricola pallidus bafirawari,Agricola pallidus subalaris/erlangeri
835298fffffffff,2.0,0.0,0.0,0.0
83541afffffffff,2.0,0.0,0.0,0.0
83541bfffffffff,9.0,0.0,0.0,0.0
8354a9fffffffff,5.0,0.0,0.0,0.0
8354e2fffffffff,4.0,0.0,0.0,0.0
8354e4fffffffff,10.0,0.0,0.0,0.0
8354e5fffffffff,8.0,2.0,0.0,0.0
835896fffffffff,5.0,0.0,0.0,0.0
8358a4fffffffff,1.0,0.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0,0.0
8358cdfffffffff,3.0,0.0,0.0,0.0
8358d1fffffffff,2.0,0.0,0.0,0.0
8358dcfffffffff,3.0,0.0,0.0,0.0
8358defffffffff,6.0,0.0,0.0,0.0
8358e2fffffffff,21.0,0.0,0.0,0.0
8358e3fffffffff,1.0,0.0,0.0,0.0
8358e6fffffffff,2.0,0.0,0.0,0.0
8358ebfffffffff,1.0,0.0,0.0,0.0
8358f0fffffffff,1.0,0.0,0.0,0.0
8358f5fffffffff,4.0,0.0,0.0,0.0
835998fffffffff,12.0,0.0,0.0,0.0
83599efffffffff,4.0,0.0,0.0,0.0
836a45fffffffff,2.0,0.0,0.0,0.0
836a5afffffffff,44.0,0.0,0.0,0.0
836a61fffffffff,4.0,0.0,0.0,0.0
836a69fffffffff,12.0,0.0,0.0,0.0
836a6efffffffff,1.0,1.0,0.0,0.0
836ac0fffffffff,9.0,0.0,0.0,0.0
836ac1fffffffff,6.0,0.0,0.0,0.0
836ac3fffffffff,6.0,0.0,0.0,0.0
836ac8fffffffff,5.0,0.0,0.0,0.0
836ac9fffffffff,2.0,0.0,0.0,0.0
836accfffffffff,7.0,0.0,0.0,0.0
836acdfffffffff,1.0,0.0,0.0,0.0
836acefffffffff,35.0,0.0,0.0,0.0
836ad8fffffffff,40.0,0.0,0.0,0.0
836ad9fffffffff,2.0,0.0,0.0,0.0
836adafffffffff,1.0,0.0,0.0,0.0
836adcfffffffff,13.0,0.0,0.0,0.0
836addfffffffff,24.0,0.0,0.0,0.0
836adefffffffff,9.0,0.0,0.0,0.0
836ae8fffffffff,39.0,0.0,0.0,0.0
836aeafffffffff,47.0,0.0,0.0,0.0
836aebfffffffff,6.0,0.0,0.0,0.0
836aecfffffffff,1.0,0.0,0.0,0.0
836aeefffffffff,60.0,0.0,0.0,0.0
83750dfffffffff,146.0,10.0,0.0,0.0
837520fffffffff,88.0,9.0,0.0,0.0
837521fffffffff,2.0,0.0,0.0,0.0
837529fffffffff,36.0,1.0,0.0,0.0
83752afffffffff,1.0,0.0,0.0,0.0
837530fffffffff,5.0,0.0,0.0,0.0
837a40fffffffff,49.0,0.0,0.0,0.0
837a41fffffffff,78.0,0.0,0.0,0.0
837a43fffffffff,2.0,0.0,0.0,0.0
837a44fffffffff,1.0,0.0,0.0,0.0
837a45fffffffff,59.0,0.0,0.0,0.0
837a46fffffffff,4.0,0.0,3.0,0.0
837a48fffffffff,76.0,0.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0,0.0
837a4bfffffffff,10.0,0.0,0.0,0.0
