cell_id,Aphelocoma woodhouseii,Aphelocoma woodhouseii [woodhouseii Group],Aphelocoma woodhouseii sumichrasti/remota
822687fffffffff,4643.0,601.0,0.0
82268ffffffffff,17614.0,1121.0,0.0
822697fffffffff,7583.0,53.0,0.0
82269ffffffffff,10985.0,759.0,0.0
8226affffffffff,15.0,0.0,0.0
8226b7fffffffff,21.0,0.0,0.0
8226d7fffffffff,592.0,34.0,0.0
8226dffffffffff,371.0,11.0,0.0
8226f7fffffffff,1.0,0.0,0.0
8228a7fffffffff,29.0,5.0,0.0
8228b7fffffffff,566.0,36.0,0.0
822987fffffffff,1785.0,2.0,0.0
82298ffffffffff,988.0,91.0,0.0
822997fffffffff,5451.0,196.0,0.0
82299ffffffffff,383.0,0.0,0.0
8229a7fffffffff,18.0,0.0,0.0
8229b7fffffffff,5322.0,437.0,0.0
824817fffffffff,96.0,0.0,0.0
82481ffffffffff,21.0,0.0,0.0
824887fffffffff,167.0,2.0,0.0
82488ffffffffff,739.0,5.0,0.0
82489ffffffffff,10263.0,164.0,0.0
8248a7fffffffff,323.0,0.0,0.0
8248affffffffff,1.0,0.0,0.0
8248c7fffffffff,7989.0,1268.0,0.0
8248cffffffffff,4169.0,732.0,0.0
8248d7fffffffff,1529.0,88.0,0.0
8248dffffffffff,21201.0,4451.0,0.0
8248e7fffffffff,357.0,50.0,0.0
8248effffffffff,6377.0,1453.0,0.0
8248f7fffffffff,6359.0,465.0,0.0
824987fffffffff,94.0,4.0,0.0
82498ffffffffff,44.0,0.0,0.0
824997fffffffff,1304.0,2.0,145.0
82499ffffffffff,15.0,0.0,0.0
8249a7fffffffff,4.0,0.0,0.0
8249b7fffffffff,493.0,0.0,52.0
826d37fffffffff,1574.0,0.0,703.0
